"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
2,"연령오픈",48,1,36,1,24.6,1,0,0,0,0,0,0,13.6,1,13.6,0,13.1,25.1,36.5,22.4,0,0,"마령",0,0,0,23142000,8526000,5278000,2030000,1624000,1,"-","스파이캠","SPY CAM","0034525",70,0,0,0,0,0,0,0,"박금만","PARK GEUM MAN","080408","부산경남","미국",1,"여홍현","Yeo Hong Hyeon",106235,1.2,"200점이상","혼4",0,20140928,"일요일",1000,"일반",1,61.1,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"유충열","YU CHUNG YEOL","070139","양호 (8%)","맑음",53,"498(-4)",1.8,
3,"연령오픈",49,5,37.5,8,26,10,0,0,0,0,0,0,14.3,8,14.3,0,12.4,23.9,35.4,23.2,0,0,"마령",0,0,0,23142000,8526000,5278000,2030000,1624000,6,2,"빛나는순간","BINNANEUN SUNGAN","0032964",70,0,0,0,0,0,0,0,"채상현","Chae Sang Hyun","080532","부산경남","호주",2,"구영본","Gu Young Bon",104162,5.1,"200점이상","혼4",0,20140928,"일요일",1000,"일반",1,61.4,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"문제복","MUN JE BOK","070140","양호 (8%)","맑음",50,"430(-1)",27.9,
3,"연령오픈",48.3,2,36.1,2,24.7,3,0,0,0,0,0,0,13.7,3,13.7,0,13.4,25.6,37,22.4,0,0,"마령",0,0,0,23142000,8526000,5278000,2030000,1624000,12,"1½","무지개동산","MUJIGAE DONGSAN","0030237",70,0,0,0,0,0,0,0,"조상범","Jo Sang Beom","080533","부산경남","한국",3,"김동훈","Kim Dong Hoon",112298,2.9,"200점이상","혼4",0,20140928,"일요일",1000,"일반",1,61.7,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","양호 (8%)","맑음",50,"498(+3)",14.6,
2,"연령오픈",48.6,3,36.4,3,24.7,2,0,0,0,0,0,0,13.6,2,13.6,0,13.3,25.5,37.2,22.8,0,0,"마령",0,0,0,23142000,8526000,5278000,2030000,1624000,5,1,"라온카리스","RAON CHARIS","0034517",70,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","미국",4,"손천수","Son Chun Soo",106025,1.5,"200점이상","혼4",0,20140928,"일요일",1000,"일반",1,61.9,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김길중","Kim Gil Jung","070126","양호 (8%)","맑음",53,"475(+3)",5.2,
2,"연령오픈",49.2,7,37.1,5,25.2,5,0,0,0,0,0,0,14,6,14,0,12.8,24.9,36.8,23.1,0,0,"마령",0,0,0,23142000,8526000,5278000,2030000,1624000,2,"½","메이비플래시","MABEE FLASHY","0034616",70,0,0,0,0,0,0,0,"문중원","MUN JUNG WON","080397","부산경남","미국",5,"이동좌","Lee Dong Joa",106080,11.1,"200점이상","혼4",0,20140928,"일요일",1000,"일반",1,62,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"강병은","KANG BYUNG EUN","070135","양호 (8%)","맑음",53,"493(+6)",83.8,
3,"연령오픈",48.9,4,36.6,4,25,4,0,0,0,0,0,0,13.8,4,13.8,0,13.2,25.5,37.1,22.8,0,0,"마령",0,0,0,23142000,8526000,5278000,2030000,1624000,8,"¾","담양전설","DAMYANG JEONSEOL","0030561",70,0,0,0,0,0,0,0,"박성광","Park Sung Kwang","080396","부산경남","한국",6,"최원호","Choi Won Ho",104095,3.4,"200점이상","혼4",0,20140928,"일요일",1000,"일반",1,62.1,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"민장기","Min Jang Gi","070136","양호 (8%)","맑음",55,"505(+18)",18.9,
2,"연령오픈",49.2,6,37.5,7,26,9,0,0,0,0,0,0,14.5,9,14.5,0,13,24.7,36.2,23,0,0,"마령",0,0,0,23142000,8526000,5278000,2030000,1624000,9,"½","해상풍","HAESANGPUNG","0034634",70,0,0,0,0,0,0,0,"조성곤","JO SUNG GON","080410","부산경남","미국",7,"김범수","Kim Beon Soo",106250,2.1,"200점이상","혼4",0,20140928,"일요일",1000,"일반",1,62.2,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"방동석","Bang Dong Suk","070142","양호 (8%)","맑음",53,"448(+15)",9.5,
4,"연령오픈",50,9,37.8,9,26,8,0,0,0,0,0,0,14.6,10,14.6,0,12.8,25,36.8,23.2,0,0,"마령",0,0,0,23142000,8526000,5278000,2030000,1624000,4,4,"레이스헌터","RACE HUNTER","0027701",70,0,0,0,0,0,0,0,"김영민","KIM YOUNG MIN","080404","부산경남","한국",8,"김효태","Kim Hyo Tae",112295,18.1,"200점이상","혼4",0,20140928,"일요일",1000,"일반",1,62.8,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","양호 (8%)","맑음",57,"470(-1)",142.3,
2,"연령오픈",50,10,37.8,10,25.6,7,0,0,0,0,0,0,13.9,5,13.9,0,12.9,25.1,37.3,23.9,0,0,"마령",0,0,0,23142000,8526000,5278000,2030000,1624000,7,"½","초록산","CHOROKSAN","0034720",70,0,0,0,0,0,0,0,"정동철","Jeong Dong Cheol","080482","부산경남","미국",9,"김화원","Kim Hwa Won",109138,1.9,"200점이상","혼4",0,20140928,"일요일",1000,"일반",1,62.9,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"임동창","Im Dong Chang","070138","양호 (8%)","맑음",53,"458(+5)",5.4,
2,"연령오픈",50.1,11,38,11,26.1,11,0,0,0,0,0,0,14.6,11,14.6,0,12.8,24.9,36.8,23.4,0,0,"마령",0,0,0,23142000,8526000,5278000,2030000,1624000,11,"코","폭풍최강","POKPUNG CHOEGANG","0033002",70,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","미국",10,"장재원","Jang Jae Won","065132",23.1,"200점이상","혼4",0,20140928,"일요일",1000,"일반",1,62.9,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"유충열","YU CHUNG YEOL","070139","양호 (8%)","맑음",53,"496(+10)",157.5,
4,"연령오픈",49.5,8,37.1,6,25.3,6,0,0,0,0,0,0,14,7,14,0,13.7,26.1,37.9,23.1,0,0,"마령",0,0,0,23142000,8526000,5278000,2030000,1624000,3,"1¾","로열플라잉","ROYAL FLYING","0031205",70,0,0,0,0,0,0,0,"채규준","Chae Gyu Jun","080398","부산경남","뉴질랜드",11,"이상현","Lee Sang Hyun",104152,12.6,"200점이상","혼4",0,20140928,"일요일",1000,"일반",1,63.2,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","양호 (8%)","맑음",56,"460(+3)",104,
