"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sexCond","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds"
2,"2세",61.4,2,49.3,4,37.2,4,24.9,6,0,0,0,0,13.7,4,13.7,0,13.4,25.5,37.6,24.4,24.9,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,11,"-","오케이선더","O.K. THUNDER","0044097",85,0,0,0,0,0,0,0,"김혜선","Kim Hye Sun","080456","부산경남","한국",1,"김지현","Kim Ji Hyun",114030,3.8,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,74.8,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"김영민","Kim Young Min","070224","건조 (3%)","맑음",55,"514(+8)",17.7
2,"2세",61.1,1,48.5,1,36.4,1,24.3,1,0,0,0,0,13.4,1,13.4,0,14.6,27.2,39.3,24.2,24.3,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,6,5,"오션스톰","OCEAN STORM","0043775",85,0,0,0,0,0,0,0,"유광희","Lyu Gwang Hee","080483","부산경남","한국",2,"김규조","Kim Kyu Jo",112301,2.2,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,75.7,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"이상영","Lee Sang Young","070141","건조 (3%)","맑음",53,"453(-10)",7.2
2,"2세",62.6,4,49.8,5,37.4,7,25.1,7,0,0,0,0,14,7,14,0,13.7,26.5,38.9,24.7,25.1,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,8,3,"그랜드선","GRAND SUN","0044647",85,0,0,0,0,0,0,0,"조인권","Jo In Kwon","080438","부산경남","한국",3,"정순옥","Jeong Sun Ok",119003,5.2,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,76.3,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","건조 (3%)","맑음",55,"508(-5)",18.5
2,"2세",63,7,50.5,11,38.1,13,25.9,13,0,0,0,0,14.2,13,14.2,0,13.6,26.1,38.5,24.6,25.9,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,12,"1¾","라인브레이커","LINE BREAKER","0044313",85,0,0,0,0,0,0,0,"신윤섭","Shin Yun Seob","080606","부산경남","한국",4,"백용덕","Baek Yong Dok",118028,3.4,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,76.6,0,0,0,0,0,0,0,"거","오픈",0,0,0,0,0,0,0,"토마스","Thomas Gillespie","070194","건조 (3%)","맑음",51,"461(-6)",16.4
2,"2세",61.7,3,48.8,2,36.5,3,24.4,3,0,0,0,0,13.7,5,13.7,0,14.9,27.8,40.1,24.4,24.4,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,14,"머리","조셉핀퀸","JOSEPHINE QUEEN","0044449",85,0,0,0,0,0,0,0,"정우주","Jeong Woo Ju","080588","부산경남","한국",5,"양호규","Yang Ho Kyu","065081",3.6,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,76.6,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"이상영","Lee Sang Young","070141","건조 (3%)","맑음",53,"475()",13.6
2,"2세",63.2,9,50.4,8,37.8,9,25.5,11,0,0,0,0,14.1,10,14.1,0,14.1,26.9,39.5,24.9,25.5,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,5,4,"두유어베스트","DO YOUR BEST","0044086",85,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",6,"신윤경","Shin Yoon Gyeong",112292,5.2,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,77.3,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"김병학","Kim Byung Hak","070121","건조 (3%)","맑음",53,"496(-3)",25.1
2,"2세",63,6,50.1,7,37.4,5,24.5,4,0,0,0,0,13.6,2,13.6,0,14.3,27.2,39.9,25.6,24.5,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,2,"머리","유서프","USURP","0043675",85,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",7,"박희상","Park Hee Sang",115008,1.3,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,77.3,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","건조 (3%)","맑음",55,"496(-1)",2
2,"2세",63.5,11,50.6,12,38.1,12,25.9,12,0,0,0,0,14.2,12,14.2,0,14.3,27.2,39.7,24.7,25.9,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,7,"2½","레이디골든","LADY GOLDEN","0044167",85,0,0,0,0,0,0,0,"김태경","Kim Tae Kyung","080296","부산경남","한국",8,"김화원","Kim Hwa Won",109138,25,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,77.8,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","건조 (3%)","맑음",53,"452(-21)",160.8
2,"2세",64,14,51,14,38.5,14,26.4,14,0,0,0,0,15.6,14,15.6,0,13.9,26.9,39.4,24.6,26.4,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,13,"½","구름속산책","GUREUMSOK SANCHAEK","0043932",85,0,0,0,0,0,0,0,"정동철","Jeong Dong Cheol","080482","부산경남","한국",9,"임교철","Lim Kyo Chul",114038,5.4,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,77.9,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"안우성","An Woo Sung","070180","건조 (3%)","맑음",55,"491(-3)",25.6
2,"2세",63.7,12,50.8,13,38.1,11,25.5,10,0,0,0,0,14.2,11,14.2,0,14.2,27.1,39.8,25.3,25.5,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,4,"머리","케이비런웨이","K. B. RUNWAY","0044192",85,0,0,0,0,0,0,0,"윤형석","Yoon Hyung Seok","080607","부산경남","한국",10,"홍중표","Hong Jung Pyo",119006,13.1,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,77.9,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","건조 (3%)","맑음",50,"461(-4)",38.3
2,"2세",63.1,8,49.9,6,37.4,6,24.9,5,0,0,0,0,14.1,9,14.1,0,15,28.2,40.7,25,24.9,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,1,1,"그린파파고","GREEN PAPAGO","0044295",85,0,0,0,0,0,0,0,"요아니스","Ioannis Poullis","080591","부산경남","한국",11,"김재영b","Kim Jae Young",117014,2.3,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,78.1,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"라이스","Bart Rice","070186","건조 (3%)","맑음",53,"461(-9)",9.6
2,"2세",62.8,5,49.1,3,36.5,2,24.4,2,0,0,0,0,13.6,3,13.6,0,15.3,29,41.6,24.7,24.4,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,9,"½","스카이제주향","SKY JEJUHYANG","0044151",85,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",12,"문애순","Mun Ae Sun",215647,2.1,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,78.1,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"안우성","An Woo Sung","070180","건조 (3%)","맑음",53,"460(-14)",8
2,"2세",63.5,10,50.5,9,37.9,10,25.4,9,0,0,0,0,13.9,6,13.9,0,14.9,27.9,40.5,25.1,25.4,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,3,"1½","색달파이터","SAEKDAL FIGHTER","0044574",85,0,0,0,0,0,0,0,"박종호","Park Jong Ho","080601","부산경남","한국",13,"강승호","Kang Seung Ho",214773,58.9,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,78.4,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"하무선","Ha Mu Seon","070143","건조 (3%)","맑음",51,"481(+2)",188.7
2,"2세",63.9,13,50.5,10,37.7,8,25.3,8,0,0,0,0,14,8,14,0,15,28.4,41.2,25.2,25.3,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,10,3,"원더풀티즈","WONDERFUL TIZZ","0044719",85,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",14,"이일형","Lee Il Hyung",216420,13.3,"R0~0","국6등급",0,20211226,"일요일",1200,"일반",1,78.9,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","건조 (3%)","맑음",53,"441(-4)",57.4
