"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
3,"연령오픈",60.7,1,47.3,1,36.8,1,24.9,1,0,0,0,0,13.7,1,13.7,0,13.6,27,37.5,22.4,24.9,0,"별정A",0,0,0,8800000,5500000,3740000,2420000,1540000,2,"-","컬러윈드","COLOR WIND","0043202",11,0,0,0,0,0,0,0,"페로비치","Djordje Perovic","080542","부산경남","한국",1,"하늬바람","Ha Nui Ba Ram",117054,1,"R0~0","국6등급",0,20210327,"토요일",1200,"일반",1,74.3,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"민장기","Min Jang Gi","070136","건조 (3%)","맑음",54.5,"477(+1)",1.6,
4,"연령오픈",62.1,2,48.5,2,37.5,2,25.4,4,0,0,0,0,14.2,5,14.2,0,13.4,27,38,23.1,25.4,0,"별정A",0,0,0,8800000,5500000,3740000,2420000,1540000,4,7,"라피도퀸","RAPIDO QUEEN","0040538",11,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",2,"우만식","Uh Man Sik",104087,1.4,"R0~0","국6등급",0,20210327,"토요일",1200,"일반",1,75.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김남중","KIM NAM JUNG","070120","건조 (3%)","맑음",55,"484(-3)",4,
3,"연령오픈",63.1,3,49.1,4,38.1,7,25.9,7,0,0,0,0,14.7,12,14.7,0,14,28,39,23.2,25.9,0,"별정A",0,0,0,8800000,5500000,3740000,2420000,1540000,3,9,"더윈","THE WIN","0043047",11,0,0,0,0,0,0,0,"다실바","Francisco Da Silva","080568","부산경남","한국",3,"정영광","Jung Young Kwang",104117,2.3,"R0~0","국6등급",0,20210327,"토요일",1200,"일반",1,77.1,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"안우성","An Woo Sung","070180","건조 (3%)","맑음",56.5,"501(+3)",11.8,
3,"연령오픈",63.9,4,50.1,8,38.7,8,26.2,10,0,0,0,0,15,13,15,0,13.8,27.6,39,23.9,26.2,0,"별정A",0,0,0,8800000,5500000,3740000,2420000,1540000,1,3,"자메이카파워","JAMAICA POWER","0042362",11,0,0,0,0,0,0,0,"정도윤","Jung Do Yun","080565","부산경남","한국",4,"이종훈","Lee Jong Hun",105127,2.5,"R0~0","국6등급",0,20210327,"토요일",1200,"일반",1,77.7,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"백광열","Baik Kwang Yeol","070130","건조 (3%)","맑음",56.5,"538(-19)",20.9,
4,"연령오픈",64.3,8,50.2,9,39.3,13,26.4,13,0,0,0,0,14.4,10,14.4,0,13.8,27.9,38.8,23.8,26.4,0,"별정A",0,0,0,8800000,5500000,3740000,2420000,1540000,12,2,"새만금의비전","SAEMANGEUMUIVISION","0040979",11,0,0,0,0,0,0,0,"김명신","Kim Myoung Sin","080402","부산경남","한국",5,"새만금","Sae Man Geum",119007,10.3,"R0~0","국6등급",0,20210327,"토요일",1200,"일반",1,78.1,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"강병은","KANG BYUNG EUN","070135","건조 (3%)","맑음",55,"416(+6)",41.2,
4,"연령오픈",64,7,49.6,7,37.9,6,25.5,6,0,0,0,0,14,4,14,0,14.1,28.5,40.2,24.1,25.5,0,"별정A",0,0,0,8800000,5500000,3740000,2420000,1540000,14,"½","드래곤로열","DRAGON ROYAL","0041484",11,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",6,"김호균","Kim Ho Kyun","065078",2.6,"R0~0","국6등급",0,20210327,"토요일",1200,"일반",1,78.1,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","건조 (3%)","맑음",57,"458(-5)",9.5,
3,"연령오픈",64.4,10,50.3,10,38.9,10,26.3,12,0,0,0,0,14.4,11,14.4,0,14.1,28.2,39.6,24,26.3,0,"별정A",0,0,0,8800000,5500000,3740000,2420000,1540000,13,2,"매직존","MAGIC JOHN","0042421",11,0,0,0,0,0,0,0,"박종호","Park Jong Ho","080601","부산경남","한국",7,"최종복","Choi Jong Bok","065126",6,"R0~0","국6등급",0,20210327,"토요일",1200,"일반",1,78.5,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","건조 (3%)","맑음",52.5,"478(+11)",49.1,
4,"연령오픈",64,6,49.4,6,37.9,5,25.5,5,0,0,0,0,14.2,6,14.2,0,14.6,29.2,40.7,23.9,25.5,0,"별정A",0,0,0,8800000,5500000,3740000,2420000,1540000,7,1,"골드오브하트","GOLD OF HEART","0041392",11,0,0,0,0,0,0,0,"김철호","Kim Cheol Ho","080434","부산경남","한국",8,"김경태","kim gyeong tae","065063",26.5,"R0~0","국6등급",0,20210327,"토요일",1200,"일반",1,78.6,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","건조 (3%)","맑음",57,"557(-1)",71.8,
3,"연령오픈",63.9,5,49.3,5,37.7,4,25.3,3,0,0,0,0,14,3,14,0,14.9,29.5,41.1,24,25.3,0,"별정A",0,0,0,8800000,5500000,3740000,2420000,1540000,11,1,"서부굿","SEOBU GOOD","0043044",11,0,0,0,0,0,0,0,"김태훈","Kim Tae Hun","080512","부산경남","한국",9,"부건영","Bu Gun Young",104079,29.6,"R0~0","국6등급",0,20210327,"토요일",1200,"일반",1,78.8,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"토마스","Thomas Gillespie","070194","건조 (3%)","맑음",54.5,"474(-2)",44,
3,"연령오픈",65.5,12,51,13,39.1,12,26.2,11,0,0,0,0,14.4,9,14.4,0,14,28.5,40.4,24.8,26.2,0,"별정A",0,0,0,8800000,5500000,3740000,2420000,1540000,10,4,"전설의파티","JEONSEOLUI PARTY","0042711",11,0,0,0,0,0,0,0,"요아니스","Ioannis Poullis","080591","부산경남","한국",10,"무지개렌트카","Moojigae Rentcar",118030,8.3,"R0~0","국6등급",0,20210327,"토요일",1200,"일반",1,79.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","건조 (3%)","맑음",54.5,"451(+1)",40.3,
