"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
3,"연령오픈",48.5,2,36.2,2,24.6,2,0,0,0,0,0,0,13.6,2,13.6,0,13.2,25.5,37.1,22.6,0,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,5,"-","에코문","ECHO MOON","0040830",7,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",1,"류주영","Ryu Ju Yeong",112004,1.8,"R0~0","국6등급",0,20200131,"금요일",1000,"일반",1,61.7,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"임금만","Lim Keum Man","070128","다습 (11%)","맑음",53.5,"469(-5)",6,
3,"연령오픈",48.5,1,36.2,1,24.6,1,0,0,0,0,0,0,13.5,1,13.5,0,13.5,25.8,37.4,22.7,0,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,4,"1½","배다리선샤인","BAEDARI SUNSHINE","0041224",7,0,0,0,0,0,0,0,"이효식","Lee Hyo Sik","080564","부산경남","한국",2,"송한우","Song Han Woo",110050,1.4,"R0~0","국6등급",0,20200131,"금요일",1000,"일반",1,62,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","다습 (11%)","맑음",55.5,"530(+1)",5.6,
3,"연령오픈",48.9,3,36.5,4,24.9,4,0,0,0,0,0,0,13.7,4,13.7,0,13.3,25.7,37.3,22.8,0,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,1,1,"뉴프로스펙트","NEW PROSPECT","0041306",7,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",3,"이시돌협회","Isidore Farm",103012,1.2,"R0~0","국6등급",0,20200131,"금요일",1000,"일반",1,62.2,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","다습 (11%)","맑음",55.5,"521(+5)",1.5,
3,"연령오픈",48.9,4,36.3,3,24.7,3,0,0,0,0,0,0,13.6,3,13.6,0,13.9,26.5,38.1,22.7,0,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,11,3,"무적용병","MUJEOK YONGBYEONG","0040391",7,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",4,"배은정","Bae Eun Jeong",214708,2.8,"R0~0","국6등급",0,20200131,"금요일",1000,"일반",1,62.8,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","다습 (11%)","맑음",55.5,"447(+1)",18.3,
3,"연령오픈",49.2,5,36.7,5,24.9,5,0,0,0,0,0,0,13.7,5,13.7,0,13.8,26.3,38.1,23,0,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,2,"1¼","청춘드림","CHEONGCHUN DREAM","0041442",7,0,0,0,0,0,0,0,"김명신","Kim Myoung Sin","080402","부산경남","한국",5,"고희종","Ko Hee Chong",104133,2.2,"R0~0","국6등급",0,20200131,"금요일",1000,"일반",1,63,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","다습 (11%)","맑음",55.5,"489(-11)",20.6,
4,"연령오픈",49.9,7,37.6,8,25.8,9,0,0,0,0,0,0,14.2,10,14.2,0,13.4,25.7,37.5,23.4,0,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,9,2,"최강클리어","CHOEGANG CLEAR","0038954",7,0,0,0,0,0,0,0,"김태경","Kim Tae Kyung","080296","부산경남","한국",6,"전종섭","Jeon Chong Sup",105008,6.5,"R0~0","국6등급",0,20200131,"금요일",1000,"일반",1,63.3,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"손병직","Son Byoung Jig","070246","다습 (11%)","맑음",56,"560(-14)",42,
3,"연령오픈",49.9,6,37.2,6,25.3,6,0,0,0,0,0,0,14.1,8,14.1,0,13.6,26.3,38.2,23.1,0,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,3,1,"스프링파이어","SPRING FIRE","0040782",7,0,0,0,0,0,0,0,"이희천","Lee Hee Cheon","080395","부산경남","한국",7,"손병현","Son Byeong Hyeon",112005,4.9,"R0~0","국6등급",0,20200131,"금요일",1000,"일반",1,63.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김길중","Kim Gil Jung","070126","다습 (11%)","맑음",53.5,"478(-5)",25.1,
3,"연령오픈",50.1,8,37.3,7,25.4,7,0,0,0,0,0,0,14,7,14,0,13.5,26.3,38.2,23.3,0,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,7,"½","우승퀸","USEUNG QUEEN","0041398",7,0,0,0,0,0,0,0,"채상현","Chae Sang Hyun","080532","부산경남","한국",8,"신윤경","Shin Yoon Gyeong",112292,12.8,"R0~0","국6등급",0,20200131,"금요일",1000,"일반",1,63.6,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김재섭","Kim Jae Sub","070106","다습 (11%)","맑음",53.5,"433(-6)",85.6,
3,"연령오픈",50.5,10,38.1,11,25.9,10,0,0,0,0,0,0,14.1,9,14.1,0,13.3,25.7,37.9,24,0,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,10,"1¼","성실소녀","SEONGSIL SONYEO","0040333",7,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",9,"이동훈","Lee Dong Hun",104112,14.2,"R0~0","국6등급",0,20200131,"금요일",1000,"일반",1,63.8,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"임동창","Im Dong Chang","070138","다습 (11%)","맑음",53.5,"432(+3)",114,
3,"연령오픈",50.3,9,37.6,9,25.5,8,0,0,0,0,0,0,13.8,6,13.8,0,13.9,26.6,38.7,23.8,0,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,8,2,"탐라황후","TAMNA HWANGHU","0040554",7,0,0,0,0,0,0,0,"김태훈","Kim Tae Hun","080512","부산경남","한국",10,"문법윤","Mun Peop Yoon",106062,6.3,"R0~0","국6등급",0,20200131,"금요일",1000,"일반",1,64.2,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","다습 (11%)","맑음",53.5,"498(+12)",79,
