"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sexCond","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds"
2,"2세",62.3,1,49.7,1,37.2,3,24.8,2,0,0,0,0,13.8,3,13.8,0,13.8,26.4,38.9,24.9,24.8,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,12,"-","백투더레전드","BACKTOTHELEGEND","0045478",96,0,0,0,0,0,0,0,"서승운","Seo Seung Un","080484","부산경남","한국",1,"무지개렌트카","Moojigae Rentcar",118030,1.1,"R0~0","국6등급",0,20221225,"일요일",1200,"일반",1,76.1,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"임금만","Lim Keum Man","070128","양호 (6%)","맑음",55,"515(+10)",2.9
2,"2세",62.8,2,50.1,4,37.5,4,25.2,5,0,0,0,0,14,5,14,0,13.8,26.5,39.1,24.9,25.2,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,4,3,"블루모어","BLUE MORE","0045565",96,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",2,"허정완","Hur Jeong Wan",119005,1,"R0~0","국6등급",0,20221225,"일요일",1200,"일반",1,76.6,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","양호 (6%)","맑음",55,"489(-12)",1.6
2,"2세",63.6,5,50.8,6,38,6,25.4,6,0,0,0,0,14,6,14,0,13.8,26.6,39.4,25.4,25.4,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,6,4,"너가최고","NEOGA CHOEGO","0045810",96,0,0,0,0,0,0,0,"권오찬","Gwon O Chan","080604","부산경남","한국",3,"범한산업","Bumhan Industries Co.",106114,22,"R0~0","국6등급",0,20221225,"일요일",1200,"일반",1,77.4,0,0,0,0,0,0,0,"거","오픈",0,0,0,0,0,0,0,"김길중","Kim Gil Jung","070126","양호 (6%)","맑음",51,"447(+16)",68.1
2,"2세",64.2,7,51.1,8,38.5,9,25.8,9,0,0,0,0,14.4,11,14.4,0,14.3,27.4,40,25.3,25.8,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,7,6,"스마일킹","SMILE KING","0046063",96,0,0,0,0,0,0,0,"다실바","Francisco Da Silva","080568","부산경남","한국",4,"신우철","Shin Woo Cheol",110056,2.7,"R0~0","국6등급",0,20221225,"일요일",1200,"일반",1,78.5,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"문현철","Moon Hyeon Cheol","070249","양호 (6%)","맑음",55,"480(+5)",16.4
2,"2세",63.6,4,49.9,3,37.2,2,24.9,3,0,0,0,0,13.7,2,13.7,0,15.2,28.9,41.6,25,24.9,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,11,2,"기적의금빛","GIJEOGUI GEUMBIT","0045638",96,0,0,0,0,0,0,0,"서강주","Seo Gang Ju","080605","부산경남","한국",5,"임용근","Lim Yong Keun",105136,8.5,"R0~0","국6등급",0,20221225,"일요일",1200,"일반",1,78.8,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"김영민","Kim Young Min","070224","양호 (6%)","맑음",51,"454(+1)",83.2
2,"2세",64.8,11,51.6,11,39,12,26,10,0,0,0,0,14.4,10,14.4,0,14,27.2,39.8,25.6,26,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,2,"머리","히어더퀸","HERE THE QUEEN","0045316",96,0,0,0,0,0,0,0,"최은경","Choi Eun Gyeong","080566","부산경남","한국",6,"안숙영","An Sook Young",106038,3.3,"R0~0","국6등급",0,20221225,"일요일",1200,"일반",1,78.8,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","양호 (6%)","맑음",53,"497(-3)",30.1
2,"2세",64.6,10,51.2,9,38.2,7,25.5,7,0,0,0,0,14.1,7,14.1,0,14.3,27.7,40.7,25.7,25.5,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,5,"½","핀홀아이","PINHOLE EYE","0046168",96,0,0,0,0,0,0,0,"윤형석","Yoon Hyung Seok","080607","부산경남","한국",7,"김근영","Kim Geun Young",106272,9,"R0~0","국6등급",0,20221225,"일요일",1200,"일반",1,78.9,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","양호 (6%)","맑음",52,"462(-5)",96.9
2,"2세",64.5,8,51,7,38.3,8,25.7,8,0,0,0,0,14.1,8,14.1,0,14.5,28,40.7,25.3,25.7,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,9,"½","킹오브더이어","KING OF THE YEAR","0046070",96,0,0,0,0,0,0,0,"정우주","Jeong Woo Ju","080588","부산경남","한국",8,"신우철","Shin Woo Cheol",110056,4.4,"R0~0","국6등급",0,20221225,"일요일",1200,"일반",1,79,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"김병학","Kim Byung Hak","070121","양호 (6%)","맑음",55,"490(-1)",34.3
2,"2세",63.6,3,49.9,2,37.1,1,24.8,1,0,0,0,0,13.6,1,13.6,0,15.7,29.4,42.2,25.1,24.8,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,8,2,"비케이갤럽","B.K. GALLOP","0045335",96,0,0,0,0,0,0,0,"정동철","Jeong Dong Cheol","080482","부산경남","한국",9,"함승원","Ham Seung Won",109142,21.1,"R0~0","국6등급",0,20221225,"일요일",1200,"일반",1,79.3,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","양호 (6%)","맑음",53,"464(+1)",114.5
2,"2세",64.2,6,50.5,5,37.6,5,25.1,4,0,0,0,0,14,4,14,0,15.3,29,41.9,25.4,25.1,0,"별정A",0,0,0,33000000,13200000,8400000,3000000,2400000,3,1,"에브리킹이지","EVERY KING IJI","0045867",96,0,0,0,0,0,0,0,"정도윤","Jung Do Yun","080565","부산경남","한국",10,"춘강","Chun Gang",112021,1.9,"R0~0","국6등급",0,20221225,"일요일",1200,"일반",1,79.5,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","양호 (6%)","맑음",55,"504(+3)",12.9
