"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sexCond","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds"
3,"3세이하",60.9,1,48.5,2,36.5,2,24.8,3,0,0,0,0,13.8,2,13.8,0,13.8,26.2,38.2,23.7,24.8,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,9,"-","투오브어스","TWO OF US","0044634",48,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",1,"민병욱","Min Byeong Wook",110064,1.2,"R0~0","국6등급",0,20220626,"일요일",1200,"일반",1,74.7,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"방동석","Bang Dong Suk","070142","다습 (14%)","맑음",54,"437(-14)",3.6
3,"3세이하",61,2,48.5,1,36.5,1,24.7,1,0,0,0,0,13.9,3,13.9,0,13.9,26.4,38.4,23.8,24.7,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,2,"1¼","월드포에이","WORLD FOUR A","0045026",48,0,0,0,0,0,0,0,"정도윤","Jung Do Yun","080565","부산경남","한국",2,"김태권","Kim Tae Gwon",112044,1.1,"R0~0","국6등급",0,20220626,"일요일",1200,"일반",1,74.9,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","다습 (14%)","맑음",56,"536(+6)",1.3
3,"3세이하",62.7,4,49.8,6,37.6,7,25.3,7,0,0,0,0,14.1,9,14.1,0,14,26.9,39.1,24.5,25.3,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,10,10,"특급캠프","TEUKGEUP CAMP","0043874",48,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",3,"박성익","Park Seong Ik",106110,3,"R0~0","국6등급",0,20220626,"일요일",1200,"일반",1,76.7,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"민장기","Min Jang Gi","070136","다습 (14%)","맑음",56,"502(-3)",30.4
3,"3세이하",62.6,3,49.6,3,36.9,3,24.8,2,0,0,0,0,13.9,4,13.9,0,14.1,27.1,39.8,24.8,24.8,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,3,"코","라우드컬러","LOUD COLOR","0044640",48,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",4,"하늬바람","Ha Nui Ba Ram",117054,10.8,"R0~0","국6등급",0,20220626,"일요일",1200,"일반",1,76.7,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"구영준","Koo Young Jun","070176","다습 (14%)","맑음",54,"470(-11)",116
3,"3세이하",63.1,6,49.8,5,37.1,4,25,5,0,0,0,0,14.1,7,14.1,0,14.1,27.4,40.1,24.8,25,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,1,3,"닥터칼리파","DOCTOR KHALIFA","0044081",48,0,0,0,0,0,0,0,"함완식","Ham Wan Sik","080342","부산경남","한국",5,"권혁희","Kwon Hyeok Hui",117002,5,"R0~0","국6등급",0,20220626,"일요일",1200,"일반",1,77.2,0,0,0,0,0,0,0,"거","오픈",0,0,0,0,0,0,0,"백광열","Baik Kwang Yeol","070130","다습 (14%)","맑음",56,"497(-27)",47.9
3,"3세이하",62.8,5,49.7,4,37.1,5,24.9,4,0,0,0,0,13.8,1,13.8,0,14.4,27.5,40.1,24.8,24.9,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,6,"목","토미리스","TOMYRIS","0044168",48,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",6,"박희상","Park Hee Sang",115008,2.1,"R0~0","국6등급",0,20220626,"일요일",1200,"일반",1,77.2,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","다습 (14%)","맑음",54,"459(-13)",24.5
3,"3세이하",63.2,7,50.1,7,37.8,8,25.6,9,0,0,0,0,14,6,14,0,14.3,27.4,39.7,24.5,25.6,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,12,"1¼","금보성","GEUMBOSEONG","0043732",48,0,0,0,0,0,0,0,"서강주","Seo Gang Ju","080605","부산경남","한국",7,"새만금","Sae Man Geum",119007,2.8,"R0~0","국6등급",0,20220626,"일요일",1200,"일반",1,77.5,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","다습 (14%)","맑음",50,"450(-9)",31.3
3,"3세이하",63.5,8,50.6,9,38.3,12,26.2,12,0,0,0,0,15,12,15,0,14,26.9,39.2,24.4,26.2,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,4,"½","회자인구","HOEJAINGU","0044581",48,0,0,0,0,0,0,0,"다실바","Francisco Da Silva","080568","부산경남","한국",8,"하나레저","Hana Leisure",121058,4.5,"R0~0","국6등급",0,20220626,"일요일",1200,"일반",1,77.5,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","다습 (14%)","맑음",56,"522(-2)",39.3
3,"3세이하",64.1,9,50.8,10,38.3,10,26,11,0,0,0,0,14.6,11,14.6,0,14.7,28,40.5,24.8,26,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,7,7,"하비스트댄서","HARVEST DANCER","0043923",48,0,0,0,0,0,0,0,"권오찬","Gwon O Chan","080604","부산경남","한국",9,"전영환","Jeon Yeong Hwan","065119",17.3,"R0~0","국6등급",0,20220626,"일요일",1200,"일반",1,78.8,0,0,0,0,0,0,0,"거","오픈",0,0,0,0,0,0,0,"이정표","Lee Jung Pyo","070132","다습 (14%)","맑음",52,"455(-3)",152.5
3,"3세이하",64.5,10,50.4,8,37.2,6,25.1,6,0,0,0,0,14.1,8,14.1,0,15.1,29.2,42.4,25.3,25.1,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,5,4,"장성대로","JANGSEONG DAERO","0044131",48,0,0,0,0,0,0,0,"서승운","Seo Seung Un","080484","부산경남","한국",10,"정광화","Jung Kwang Hwa",104074,8.7,"R0~0","국6등급",0,20220626,"일요일",1200,"일반",1,79.6,0,0,0,0,0,0,0,"수","오픈",0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","다습 (14%)","맑음",56,"546()",95.9
