"age","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","ageCond","sexCond"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정A",0,0,0,34200000,12600000,7800000,3000000,2400000,3,3,"로드핑크","ROAD PINK","0041142",77,0,0,0,0,0,0,0,"다나카","TANAKA MASAKAZU","080516","서울","한국",6,"표종순","Pyo Jong Sun",113134,5.9,"R0~0","국6등급",0,20191019,"토요일",1000,"국내산마 최강팀 선발결선전",2,64,50.3,24.9,14,0,0,14,31.2,"암",7,5,5,0,0,5,6,"임봉춘","Lim Bong Chun","070111","양호 (7%)","맑음",53,"477(-13)",39.9,"2세",
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정A",0,0,0,34200000,12600000,7800000,3000000,2400000,5,"½","스루더스카이","THROUGH THE SKY","0041182",77,0,0,0,0,0,0,0,"하정훈","Ha Jung Hun","080552","서울","한국",7,"김종진","Kim Jong Jin",116039,2.1,"R0~0","국6등급",0,20191019,"토요일",1000,"국내산마 최강팀 선발결선전",2,64.1,49.9,24.7,13.9,0,0,13.9,30.8,"거",5,3,2,0,0,2,4,"박천서","Park Chun Seo","070115","양호 (7%)","맑음",55,"490(+6)",11.5,"2세",
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정A",0,0,0,34200000,12600000,7800000,3000000,2400000,4,3,"세찬나리","SECHAN NARI","0041236",77,0,0,0,0,0,0,0,"문정균","Moon Jung Kyun","080337","서울","한국",8,"강필석","Kang Pil Seok",214574,2.9,"R0~0","국6등급",0,20191019,"토요일",1000,"국내산마 최강팀 선발결선전",2,64.7,50.6,25.2,14,0,0,14,31.4,"암",8,7,6,0,0,6,7,"정호익","Jung Ho Ik","070148","양호 (7%)","맑음",53,"469(-1)",48.3,"2세",
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,8,"-","마하선더","MACH THUNDER","0039073",77,0,0,0,0,0,0,0,"김효정","Kim Hyo Jung","080578","서울","한국",1,"장철환","Jang Cheol Hwan","010644",2,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",3,82.8,69.8,44.2,14.4,0,0,31.8,50.7,"수",7,9,8,0,0,9,9,"심승태","Shim Seung Tae","070166","양호 (7%)","맑음",56.5,"485(+5)",6.7,"연령오픈",
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,4,1,"대군옥","DAEGUN OK","0039193",77,0,0,0,0,0,0,0,"먼로","Alan Munro","080593","서울","한국",2,"표종순","Pyo Jong Sun",113134,1.3,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",3,83,69.4,43.5,14.1,0,0,31.4,50.1,"암",3,4,7,0,0,6,6,"손영표","Son Young Pyo","070150","양호 (7%)","맑음",53.5,"449(+2)",2.7,"연령오픈",
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,7,"¾","비앙카","BIANCA","0039622",77,0,0,0,0,0,0,0,"조재로","Jo Jae Ro","080550","서울","한국",3,"강석대","Kang Seok Dae",105211,1.6,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",3,83.1,68.7,42.6,13.8,0,0,30.6,48.9,"암",1,1,5,0,0,1,1,"박희철","Park Hui Cheol","070114","양호 (7%)","맑음",53,"431(-4)",8.8,"연령오픈",
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,1,"½","밀키셰리","MILKY SHERRY","0041019",77,0,0,0,0,0,0,0,"조한별","Cho Han Byeol","080515","서울","한국",4,"금악목장","Kum Ak Stud Farm","065118",5,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",3,83.2,69.4,43.3,13.8,0,0,31.1,49.8,"암",4,3,2,0,0,3,3,"지용철","Ji Yong Cheol","070051","양호 (7%)","맑음",52,"456(-4)",30.5,"연령오픈",
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,5,1,"파워프라이드","POWER PRIDE","0039473",77,0,0,0,0,0,0,0,"송재철","Song Jae Chul","080513","서울","한국",5,"최현기","Choi Hyeon Gi",110019,2.3,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",3,83.4,69,43,13.7,0,0,30.8,49.2,"거",2,2,1,0,0,2,2,"김동철","Kim Dong Chul","070177","양호 (7%)","맑음",55.5,"473(-1)",9.7,"연령오픈",
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,6,3,"원더플레이스","WONDER PLACE","0040717",77,0,0,0,0,0,0,0,"문세영","Moon Se Young","080366","서울","한국",6,"이장한","LEE JANG HAN","010532",1.3,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",3,83.9,69.8,43.5,13.8,0,0,31.1,50,"암",6,6,4,0,0,5,5,"김순근","KIM SOON KEUN","070105","양호 (7%)","맑음",52,"437(+2)",2.5,"연령오픈",
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,2,"½","로드힐스톰","ROAD HILL STORM","0039225",77,0,0,0,0,0,0,0,"김동수","Kim Dong Soo","080529","서울","한국",7,"(주)자성실업","Ja Seong Business Ltd.",106168,6,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",3,84,69.8,43.5,13.8,0,0,31.1,50,"수",5,5,3,0,0,4,4,"박윤규","Park Youn Gu","070117","양호 (7%)","맑음",55.5,"471(+2)",30.7,"연령오픈",
