"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sexCond","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds"
3,"3세이하",68.5,2,55.9,2,43.4,3,30.9,5,8.8,0,0,0,14.1,4,14.1,0,13.6,26.2,38.7,25,22.1,8.8,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,5,"-","올크라운","ALL CROWN","0043986",40,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",1,"정영광","Jung Young Kwang",104117,1.7,"R0~0","국6등급",0,20220529,"일요일",1300,"일반",1,82.1,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"안우성","An Woo Sung","070180","건조 (2%)","맑음",54,"458(+2)",5.7
3,"3세이하",67.9,1,55,1,42.8,1,30.6,1,8.4,0,0,0,13.7,1,13.7,0,14.5,27.4,39.6,24.4,22.2,8.4,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,8,"1¾","하늘질주","HANEUL JILJU","0043707",40,0,0,0,0,0,0,0,"페로비치","Djordje Perovic","080542","부산경남","한국",2,"허도행","Heo Do Haeng",104127,1.8,"R0~0","국6등급",0,20220529,"일요일",1300,"일반",1,82.4,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","건조 (2%)","맑음",54,"502(+1)",4
3,"3세이하",69.3,5,57.1,10,44.4,11,31.8,10,8.7,0,0,0,14.2,7,14.2,0,13.4,25.6,38.3,25.3,23.1,8.7,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,9,"1¾","스타캐치","STAR CATCH","0044212",40,0,0,0,0,0,0,0,"김태현","Kim Tae Hyun","080599","부산경남","한국",3,"권주순","Kwon Joo Soon","065121",1.8,"R0~0","국6등급",0,20220529,"일요일",1300,"일반",1,82.7,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","건조 (2%)","맑음",52,"454(-7)",8.1
3,"3세이하",68.8,3,56,3,43.2,2,30.7,2,8.7,0,0,0,13.9,2,13.9,0,14.3,27.1,39.9,25.3,22,8.7,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,4,"2½","레드퀸","RED QUEEN","0044891",40,0,0,0,0,0,0,0,"김어수","Kim Eu Soo","080403","부산경남","한국",4,"김은태","Kim Eun Tae",117053,2.6,"R0~0","국6등급",0,20220529,"일요일",1300,"일반",1,83.1,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"박재호","Park Jae Ho","070226","건조 (2%)","맑음",54,"455(-2)",8.6
3,"3세이하",69.2,4,56.4,4,43.7,6,31,6,9.1,0,0,0,14.4,9,14.4,0,14.3,27.1,39.8,25.4,21.9,9.1,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,2,2,"크라우드원","CROWD ONE","0044680",40,0,0,0,0,0,0,0,"김동영","Kim Dong Young","080401","부산경남","한국",5,"김조은","Kim Jo Eun",121002,2.5,"R0~0","국6등급",0,20220529,"일요일",1300,"일반",1,83.5,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"하무선","Ha Mu Seon","070143","건조 (2%)","맑음",54,"482(+1)",13.3
3,"3세이하",69.5,6,56.5,5,43.8,7,31.2,7,8.9,0,0,0,14.4,10,14.4,0,14.6,27.6,40.3,25.3,22.3,8.9,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,10,3,"슈퍼빅토리","SUPER VICTORY","0044825",40,0,0,0,0,0,0,0,"신윤섭","Shin Yun Seob","080606","부산경남","한국",6,"손병철","Son Boing Choul",110058,6.3,"R0~0","국6등급",0,20220529,"일요일",1300,"일반",1,84.1,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"김병학","Kim Byung Hak","070121","건조 (2%)","맑음",51,"505(+8)",40
3,"3세이하",70.1,8,57,8,44,8,31.3,8,8.8,0,0,0,14.2,6,14.2,0,14.4,27.5,40.5,25.7,22.5,8.8,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,7,"2½","은빛질주","EUNBIT JILJU","0043710",40,0,0,0,0,0,0,0,"모준호","Mo Jun Ho","080600","부산경남","한국",7,"김화원","Kim Hwa Won",109138,22.3,"R0~0","국6등급",0,20220529,"일요일",1300,"일반",1,84.5,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","건조 (2%)","맑음",53,"441(+1)",83
3,"3세이하",70.4,10,57.2,11,44.4,10,31.3,9,8.7,0,0,0,14.1,5,14.1,0,14.2,27.4,40.2,25.9,22.6,8.7,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,6,"목","가속데이","GASOK DAY","0044320",40,0,0,0,0,0,0,0,"조인권","Jo In Kwon","080438","부산경남","한국",8,"서종길","Seo Jong Gil",114034,2.9,"R0~0","국6등급",0,20220529,"일요일",1300,"일반",1,84.6,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"김병학","Kim Byung Hak","070121","건조 (2%)","맑음",54,"468(-2)",11.9
3,"3세이하",70.2,9,57.1,9,44.4,9,31.9,11,8.9,0,0,0,14.7,11,14.7,0,14.6,27.7,40.4,25.2,23,8.9,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,11,1,"대지플라이","DAEJI FLY","0044894",40,0,0,0,0,0,0,0,"채상현","Chae Sang Hyun","080532","부산경남","한국",9,"한정협","Han Jung Hyup",104098,16.4,"R0~0","국6등급",0,20220529,"일요일",1300,"일반",1,84.8,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"구민성","Gu Min Sung","070173","건조 (2%)","맑음",54,"499(+6)",99.8
3,"3세이하",70.1,7,56.5,6,43.5,4,30.9,4,8.7,0,0,0,14.1,3,14.1,0,14.9,28.5,41.5,25.6,22.2,8.7,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,3,"1½","불의여신","BURUI YEOSIN","0044285",40,0,0,0,0,0,0,0,"서강주","Seo Gang Ju","080605","부산경남","한국",10,"이혜란","Lee Hae Lan",104102,16.6,"R0~0","국6등급",0,20220529,"일요일",1300,"일반",1,85,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","건조 (2%)","맑음",50,"454(-19)",98.6
