"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
2,"연령오픈",48.2,1,36.5,2,25.2,5,0,0,0,0,0,0,14,4,14,0,12.7,24.4,35.7,22.5,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,5,"-","영희시대","YEONGHUI SIDAE","0036938",64,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",1,"류주영","Ryu Ju Yeong",112004,1.1,"R1~35","국5등급",30,20170827,"일요일",1000,"일반",1,60.9,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"토마스","Thomas Gillespie","070194","건조 (3%)","맑음",52.5,"469(+7)",1.7,
3,"연령오픈",48.5,3,36.7,3,25.3,6,0,0,0,0,0,0,14,5,14,0,12.8,24.6,36,22.7,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,7,"2½","스토미매직","STORMY MAGIC","0035107",64,0,0,0,0,0,0,0,"사토시","YONEKURA SATOSHI","080560","부산경남","한국",2,"강훈표","Kang Hoon Pyo","065007",2,"R1~35","국5등급",29,20170827,"일요일",1000,"일반",1,61.3,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"구영준","Koo Young Jun","070176","건조 (3%)","맑음",53.5,"476(+4)",14.8,
3,"연령오픈",48.4,2,36.5,1,25,1,0,0,0,0,0,0,13.8,1,13.8,0,13.1,25,36.5,22.7,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,4,1,"스웨그","SWAG","0036269",64,0,0,0,0,0,0,0,"진겸","Jin Kyum","080551","부산경남","한국",3,"민병욱","Min Byeong Wook",110064,1.2,"R1~35","국5등급",34,20170827,"일요일",1000,"일반",1,61.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"이상영","Lee Sang Young","070141","건조 (3%)","맑음",56,"474(-2)",3.1,
3,"연령오픈",48.7,4,36.8,4,25.2,2,0,0,0,0,0,0,14.1,6,14.1,0,12.9,24.8,36.4,22.7,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,1,"¾","백년손님","BAENGNYEON SONNIM","0035008",64,0,0,0,0,0,0,0,"전진구","Jeon Jin Gu","080580","부산경남","한국",4,"이본희","Lee Bon Hee",106047,2.9,"R1~35","국5등급",31,20170827,"일요일",1000,"일반",1,61.6,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"방동석","Bang Dong Suk","070142","건조 (3%)","맑음",52,"451(+6)",15.8,
3,"연령오픈",48.7,5,36.8,5,25.2,3,0,0,0,0,0,0,14,3,14,0,12.9,24.8,36.4,22.8,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,2,"머리","달콤한인생","DALKOMHAN INSAENG","0035101",64,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",5,"강훈표","Kang Hoon Pyo","065007",2.7,"R1~35","국5등급",26,20170827,"일요일",1000,"일반",1,61.6,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"백광열","Baik Kwang Yeol","070130","건조 (3%)","맑음",52,"468(+18)",15.5,
3,"연령오픈",48.7,6,36.8,6,25.2,4,0,0,0,0,0,0,13.9,2,13.9,0,12.9,24.8,36.4,22.9,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,8,"코","예스레드","YES RED","0036037",64,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",6,"김명환","Kim Myeong Hwan",113133,2.5,"R1~35","국5등급",27,20170827,"일요일",1000,"일반",1,61.6,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"하무선","Ha Mu Seon","070143","건조 (3%)","맑음",51,"464(+4)",18,
4,"연령오픈",49.7,8,37.8,8,26,8,0,0,0,0,0,0,14.2,7,14.2,0,12.4,24.3,36.1,23.6,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,6,3,"오마이캡틴","OH MY CAPTAIN","0033581",64,0,0,0,0,0,0,0,"기욤베","JEAN-PIERRE PATRICK GUILLAMBERT","080581","부산경남","한국",7,"심상순","Sim Sang Soon",106089,4.1,"R1~35","국5등급",31,20170827,"일요일",1000,"일반",1,62.1,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"유병복","Yoo Byung Bok","070109","건조 (3%)","맑음",56,"516(+2)",19.1,
5,"연령오픈",49.7,7,37.6,7,25.8,7,0,0,0,0,0,0,14.3,8,14.3,0,12.6,24.7,36.5,23.3,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,3,"¾","오대박","OH DAEBAK","0031368",64,0,0,0,0,0,0,0,"문중원","MUN JUNG WON","080397","부산경남","한국",8,"송정아","Song Jung Ah",104161,7.9,"R1~35","국5등급",21,20170827,"일요일",1000,"일반",1,62.3,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","건조 (3%)","맑음",51,"461(+1)",48.6,
3,"연령오픈",87.8,2,76,4,63.6,4,51,3,26.3,4,0,0,14.7,6,14.7,0,12.5,24.3,36.7,25,24.7,26.3,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,4,"-","바운드코리아","BOUND KOREA","0035201",64,0,0,0,0,0,0,0,"함완식","Ham Wan Sik","080342","부산경남","한국",1,"장성근","Jang Seong Geun",112045,1.3,"R1~50","국4등급",40,20170827,"일요일",1600,"일반",2,100.3,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","건조 (3%)","맑음",52.5,"494()",4.2,
4,"연령오픈",87.8,1,75.6,1,63.4,1,50.7,1,26,1,0,0,14.3,1,14.3,0,13,25.2,37.4,24.9,24.7,26,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,3,"2½","채스터티","CHASTITY","0034296",64,0,0,0,0,0,0,0,"기욤베","JEAN-PIERRE PATRICK GUILLAMBERT","080581","부산경남","한국",2,"배리 하워드 어윈","Barry Howard IRWIN",214134,1.8,"R1~50","국4등급",44,20170827,"일요일",1600,"일반",2,100.8,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"라이스","Bart Rice","070186","건조 (3%)","맑음",53,"478(+6)",4.1,
