"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
3,"연령오픈",67.4,1,54.2,1,41.8,1,30.2,1,8.2,1,0,0,13.7,1,13.7,0,13.9,27.1,39.5,24,22,8.2,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,11,"-","스팟","SPOT","0037731",32,0,0,0,0,0,0,0,"이효식","Lee Hyo Sik","080564","부산경남","한국",1,"유연훈","You Yeun Hoon",114036,1.7,"R1~35","국5등급",27,20180429,"일요일",1300,"일반",1,81.3,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","건조 (4%)","맑음",53.5,"473(-7)",4.4,
3,"연령오픈",67.7,3,54.7,3,42.4,3,30.6,3,8.5,7,0,0,14,3,14,0,13.9,26.9,39.2,24.1,22.1,8.5,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,12,"1¾","좋은해","JOEUN HAE","0037097",32,0,0,0,0,0,0,0,"조인권","Jo In Kwon","080438","부산경남","한국",2,"김평갑","Kim Pyung Kap",106112,1.8,"R1~35","국5등급",31,20180429,"일요일",1300,"일반",1,81.6,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"최기홍","Choi Ki Hong","070129","건조 (4%)","맑음",55.5,"478(+2)",7.6,
6,"연령오픈",68.1,5,55.3,5,43.1,6,31.5,7,8.6,9,0,0,14.5,9,14.5,0,13.7,26.5,38.7,23.8,22.9,8.6,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,5,1,"유아더캡틴","YOUARE THE CAPTAIN","0031599",32,0,0,0,0,0,0,0,"다카하시","TAKAHASHI YURI","080553","부산경남","한국",3,"김경도","Kim Gyeong Do",112300,6.8,"R1~35","국5등급",24,20180429,"일요일",1300,"일반",1,81.8,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"김재섭","Kim Jae Sub","070106","건조 (4%)","맑음",52,"476(-1)",65.8,
4,"연령오픈",67.6,2,54.4,2,42.1,2,30.4,2,8.3,2,0,0,13.9,2,13.9,0,14.4,27.6,39.9,24,22.1,8.3,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,6,"1¼","대왕봉","DAEWANGBONG","0038153",32,0,0,0,0,0,0,0,"조상범","Jo Sang Beom","080533","부산경남","미국",4,"이권형","Lee Kweon Heoung",115010,6.8,"R1~35","국5등급",33,20180429,"일요일",1300,"일반",1,82,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"이정표","Lee Jung Pyo","070132","건조 (4%)","맑음",53.5,"484(-1)",53.7,
3,"연령오픈",68,4,54.8,4,42.5,4,30.7,4,8.6,8,0,0,14.2,6,14.2,0,14.3,27.5,39.8,24.1,22.1,8.6,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,1,"1¼","트리플실버","TRIPLE SILVER","0037146",32,0,0,0,0,0,0,0,"김명신","Kim Myoung Sin","080402","부산경남","한국",5,"백진희","Baek Jin Hui",111085,9.5,"R1~35","국5등급",26,20180429,"일요일",1300,"일반",1,82.3,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"하무선","Ha Mu Seon","070143","건조 (4%)","맑음",53,"523(-2)",44.6,
4,"연령오픈",68.7,7,56,9,43.7,9,31.8,9,8.5,6,0,0,14.3,8,14.3,0,13.7,26.4,38.7,24.2,23.3,8.5,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,8,"¾","샤프벨","SHARP BELL","0036082",32,0,0,0,0,0,0,0,"사토시","YONEKURA SATOSHI","080560","부산경남","한국",6,"서귀포시축협","Seogwipo Chukhyup",105081,4.6,"R1~35","국5등급",25,20180429,"일요일",1300,"일반",1,82.4,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"강병은","KANG BYUNG EUN","070135","건조 (4%)","맑음",52.5,"469(+1)",32.5,
3,"연령오픈",68.4,6,55.3,6,42.9,5,31.1,5,8.5,4,0,0,14.2,7,14.2,0,14.1,27.2,39.6,24.2,22.6,8.5,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,2,"¾","브이아이피킹","VIP KING","0037343",32,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",7,"김진영a","Kim Jin Young A",105040,2.7,"R1~35","국5등급",28,20180429,"일요일",1300,"일반",1,82.5,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"민장기","Min Jang Gi","070136","건조 (4%)","맑음",54,"455(-1)",12,
4,"연령오픈",68.8,8,56,8,43.7,8,31.9,10,8.8,12,0,0,14.7,12,14.7,0,13.8,26.6,38.9,24.1,23.1,8.8,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,7,"½","뉴트렌드","NEW TREND","0035695",32,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",8,"태립","Tae Rip",106255,4,"R1~35","국5등급",24,20180429,"일요일",1300,"일반",1,82.6,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김남중","KIM NAM JUNG","070120","건조 (4%)","맑음",52,"465(+3)",33.2,
5,"연령오픈",69,9,55.8,7,43.2,7,31.1,6,8.5,5,0,0,14.1,4,14.1,0,13.8,27,39.6,24.7,22.6,8.5,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,3,"1¼","보나걸","BONA GIRL","0034013",32,0,0,0,0,0,0,0,"조성곤","JO SUNG GON","080410","부산경남","한국",9,"이시돌협회","Isidore Farm",103012,5.9,"R1~35","국5등급",35,20180429,"일요일",1300,"일반",1,82.8,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","건조 (4%)","맑음",56,"473(+4)",35.4,
3,"연령오픈",69.2,10,56.3,10,43.8,10,31.5,8,8.4,3,0,0,14.1,5,14.1,0,13.9,26.8,39.3,24.8,23.1,8.4,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,4,"1½","로열골드","ROYAL GOLD","0036796",32,0,0,0,0,0,0,0,"김철호","Kim Cheol Ho","080434","부산경남","한국",10,"범한산업","Bumhan Industries Co.",106114,1.1,"R1~35","국5등급",31,20180429,"일요일",1300,"일반",1,83.1,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"유병복","Yoo Byung Bok","070109","건조 (4%)","맑음",55.5,"476(+2)",1.6,
