"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
3,"3세",49.9,2,38.1,4,26,6,0,0,0,0,0,0,14.3,7,14.3,0,13,24.8,36.9,23.8,0,0,"별정",0,0,0,14250000,5250000,3250000,1250000,1000000,11,"-","비트블레이드","BIT BLADE","0032327",15,0,0,0,0,0,0,0,"조창욱","Jo Chang Wook","080411","부산경남","한국",1,"김형란","Kim Hyeong Ran",112270,1.1,"R0~140","국6등급",0,20150227,"금요일",1000,"일반",1,62.9,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","양호 (9%)","맑음",55,"529(-4)",1.2,
3,"3세",49.8,1,37.3,1,25.4,1,0,0,0,0,0,0,14,2,14,0,13.8,26.3,38.2,23.3,0,0,"별정",0,0,0,14250000,5250000,3250000,1250000,1000000,6,4,"앳시","AT SEA","0031417",15,0,0,0,0,0,0,0,"설동복","SEOL DONG BOK","080420","부산경남","한국",2,"이종석","Lee Jong Seok",111078,2,"R0~140","국6등급",0,20150227,"금요일",1000,"일반",1,63.6,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"임한","LIM HAN","070151","양호 (9%)","맑음",55,"439(-10)",8.2,
3,"3세",50.6,3,38.3,5,25.8,4,0,0,0,0,0,0,14.2,3,14.2,0,13.2,25.5,38,24.1,0,0,"별정",0,0,0,14250000,5250000,3250000,1250000,1000000,5,"1¼","모하비왕자","MOHAVE WANGJA","0032353",15,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",3,"강종민","Gang Jong-Min",109147,2.3,"R0~140","국6등급",0,20150227,"금요일",1000,"일반",1,63.8,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"백광열","Baik Kwang Yeol","070130","양호 (9%)","맑음",55,"509(+19)",17.5,
3,"3세",50.6,4,38.1,3,25.7,3,0,0,0,0,0,0,14.2,5,14.2,0,13.5,26,38.4,23.9,0,0,"별정",0,0,0,14250000,5250000,3250000,1250000,1000000,10,"1¼","레이디차터드","LADY CHARTERED","0031918",15,0,0,0,0,0,0,0,"김도현","Kim Do Hyun","080381","부산경남","한국",4,"구영진","Gu Yeong Jin",113117,2.6,"R0~140","국6등급",0,20150227,"금요일",1000,"일반",1,64.1,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"구영준","Koo Young Jun","070176","양호 (9%)","맑음",53,"432(-3)",33.8,
3,"3세",50.8,5,38.1,2,25.6,2,0,0,0,0,0,0,13.9,1,13.9,0,14.1,26.8,39.3,24.2,0,0,"별정",0,0,0,14250000,5250000,3250000,1250000,1000000,7,5,"리스퀸","RES QUEEN","0032276",15,0,0,0,0,0,0,0,"구민성","GU MIN SUNG","080374","부산경남","한국",5,"이영선","Lee Young Sun","065104",2.5,"R0~140","국6등급",0,20150227,"금요일",1000,"일반",1,64.9,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김창옥","Kim Chang Ok","070124","양호 (9%)","맑음",53,"432(-15)",23,
3,"3세",51.7,9,38.9,9,26.5,10,0,0,0,0,0,0,14.3,8,14.3,0,13.7,26.5,38.9,24.6,0,0,"별정",0,0,0,14250000,5250000,3250000,1250000,1000000,12,3,"연승질주","YEONSEUNG JILJU","0031912",15,0,0,0,0,0,0,0,"오경환","Oh Kyung Hwan","080352","부산경남","한국",6,"김호균","Kim Ho Kyun","065078",6,"R0~140","국6등급",0,20150227,"금요일",1000,"일반",1,65.4,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","양호 (9%)","맑음",55,"478(+8)",65.1,
3,"3세",51.7,8,39,10,26.5,9,0,0,0,0,0,0,14.6,10,14.6,0,13.8,26.5,39,24.4,0,0,"별정",0,0,0,14250000,5250000,3250000,1250000,1000000,2,"목","비바멜로디","VIVA MELODY","0031528",15,0,0,0,0,0,0,0,"정동철","Jeong Dong Cheol","080482","부산경남","한국",7,"고경현","Ko Kyung Hyun","065008",16.1,"R0~140","국6등급",0,20150227,"금요일",1000,"일반",1,65.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"구영준","Koo Young Jun","070176","양호 (9%)","맑음",53,"431(-2)",227.4,
3,"3세",51.7,7,38.6,7,26.2,7,0,0,0,0,0,0,14.4,9,14.4,0,13.8,26.9,39.3,24.2,0,0,"별정",0,0,0,14250000,5250000,3250000,1250000,1000000,1,"코","더큰놈","DEOKEUNNOM","0031772",15,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",8,"한영희","Han Yeong-Hee",109144,1.4,"R0~140","국6등급",0,20150227,"금요일",1000,"일반",1,65.5,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"김남중","KIM NAM JUNG","070120","양호 (9%)","맑음",55,"506(-5)",7.9,
3,"3세",51.6,6,38.4,6,25.9,5,0,0,0,0,0,0,14.2,4,14.2,0,14,27.2,39.7,24.2,0,0,"별정",0,0,0,14250000,5250000,3250000,1250000,1000000,9,"¾","포리스트태양","FOREST TAEYANG","0032464",15,0,0,0,0,0,0,0,"김어수","Kim Eu Soo","080403","부산경남","한국",9,"전종섭","Jeon Chong Sup",105008,21.5,"R0~140","국6등급",0,20150227,"금요일",1000,"일반",1,65.6,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","양호 (9%)","맑음",55,"487(-4)",150.8,
3,"3세",52.5,11,39.6,12,27.2,12,0,0,0,0,0,0,15,12,15,0,13.8,26.7,39.1,24.6,0,0,"별정",0,0,0,14250000,5250000,3250000,1250000,1000000,8,4,"영광의바다","YEONGGWANGUI BADA","0032516",15,0,0,0,0,0,0,0,"김홍일","KIM HONG IL","080406","부산경남","한국",10,"변창덕","Byun Chang Duck",110048,30.2,"R0~140","국6등급",0,20150227,"금요일",1000,"일반",1,66.3,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김병학","Kim Byung Hak","070121","양호 (9%)","맑음",53,"433(+1)",162.7,
