"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
3,"연령오픈",75,1,62.1,1,50,3,37.2,3,0,0,0,0,14.2,2,14.2,0,13.3,26.2,38.3,24.9,23,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,2,"-","끝판여왕","KKEUTPANNYEOWANG","0031500",66,0,0,0,0,0,0,0,"김동영","Kim Dong Young","080401","부산경남","한국",1,"신우철","Shin Woo Cheol",110056,1.1,"R30~40","국5등급",39,20150830,"일요일",1400,"일반",1,88.3,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","건조 (5%)","맑음",56.5,"462(+3)",1.8,
3,"연령오픈",75.2,3,62.3,4,50.2,7,37.4,7,0,0,0,0,14.3,5,14.3,0,13.8,26.7,38.8,24.9,23.1,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,3,4,"터치스타","TOUCH STAR","0031577",66,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",2,"구영본","Gu Young Bon",104162,1.4,"R30~40","국5등급",34,20150830,"일요일",1400,"일반",1,89,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"한상복","HAN SANG BOK","070118","건조 (5%)","맑음",51,"469(-6)",3.4,
4,"연령오픈",75.2,2,62.2,2,50.2,6,37.4,6,0,0,0,0,14.3,4,14.3,0,14.2,27.2,39.2,24.8,23.1,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,1,2,"새로운기상","SAEROUN GISANG","0030849",66,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",3,"박광순","Park Kwang Soon",104131,2.3,"R30~40","국5등급",30,20150830,"일요일",1400,"일반",1,89.4,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"임금만","Lim Keum Man","070128","건조 (5%)","맑음",52,"439(+5)",11.3,
4,"연령오픈",75.5,5,62.8,8,50.5,8,37.7,8,0,0,0,0,14.5,7,14.5,0,14.1,26.8,39.1,25.1,23.2,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,7,"1¼","닥터코퍼","DR COPPER","0030403",66,0,0,0,0,0,0,0,"김용근","Kim Yong Geun","080405","부산경남","한국",4,"이혜선","Lee Hye Seon",111081,3.8,"R30~40","국5등급",32,20150830,"일요일",1400,"일반",1,89.6,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"임동창","Im Dong Chang","070138","건조 (5%)","맑음",53,"428(+1)",26.5,
4,"연령오픈",75.3,4,62.2,3,49.8,1,37,1,0,0,0,0,14.1,1,14.1,0,14.4,27.5,39.9,25.2,22.9,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,9,"½","금포디바","GUMPO DIVA","0030093",66,0,0,0,0,0,0,0,"임성실","Lim Sung Sil","080379","부산경남","한국",5,"손병철","Son Boing Choul",110058,1.6,"R30~40","국5등급",36,20150830,"일요일",1400,"일반",1,89.7,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","건조 (5%)","맑음",55,"513(-4)",7.6,
3,"연령오픈",75.5,6,62.4,5,49.9,2,37.1,2,0,0,0,0,14.2,3,14.2,0,15,28.1,40.6,25.3,22.9,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,8,5,"휘슬제이","WHISTLE  J","0031689",66,0,0,0,0,0,0,0,"노조무","NOZOMU TOMIZAWA","080427","부산경남","한국",6,"정재훈","Jeong Jae Hun",111072,4.8,"R30~40","국5등급",31,20150830,"일요일",1400,"일반",1,90.5,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"라이스","Bart Rice","070186","건조 (5%)","맑음",52.5,"451()",38.8,
3,"연령오픈",75.7,7,62.6,6,50,4,37.2,4,0,0,0,0,14.3,6,14.3,0,15.1,28.2,40.8,25.4,22.9,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,5,"1¼","소리쳐","SORICHYEO","0032621",66,0,0,0,0,0,0,0,"김정웅","KIM JEONG WOONG","080481","부산경남","한국",7,"최순자","CHOI SOON JA",106091,4.6,"R30~40","국5등급",30,20150830,"일요일",1400,"일반",1,90.8,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"유충열","YU CHUNG YEOL","070139","건조 (5%)","맑음",51,"479(-1)",25,
3,"연령오픈",75.8,8,62.7,7,50,5,37.3,5,0,0,0,0,14.5,8,14.5,0,15,28.1,40.8,25.4,22.8,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,6,"코","파워풀포스","POWERFUL FORCE","0031533",66,0,0,0,0,0,0,0,"양영남","YANG YOUNG NAM","080384","부산경남","한국",8,"이동훈","Lee Dong Hun",104112,2.8,"R30~40","국5등급",31,20150830,"일요일",1400,"일반",1,90.8,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","건조 (5%)","맑음",52.5,"459(+1)",13.7,
3,"연령오픈",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,4,"-","천중왕","CHEONJUNGWANG","0032576",66,0,0,0,0,0,0,0,"이용호","Lee Yong Ho","080547","부산경남","한국",95,"곽영숙","Kwak Yeong Sook",112303,0,"R30~40","국5등급",36,20150830,"일요일",1400,"일반",1,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"이상영","Lee Sang Young","070141","건조 (5%)","맑음",51,"0()",0,
4,"연령오픈",74.5,1,61.9,1,49.7,3,37.2,4,0,0,0,0,14,4,14,0,13.5,26.1,38.3,24.7,23.2,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,10,"-","셈퍼파이","SEMPER FI","0030296",66,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",1,"최병부","Choi Byeong Bu",109137,2.5,"R46~60","혼4등급",50,20150830,"일요일",1400,"일반",2,88,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","건조 (5%)","맑음",52,"504(+2)",10.6,
