"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
3,"연령오픈",48,1,35.7,1,24.2,1,0,0,0,0,0,0,13.1,1,13.1,0,13.5,25.8,37.3,22.6,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,4,"-","로열켈리","ROYAL KELLY","0035328",56,0,0,0,0,0,0,0,"문중원","MUN JUNG WON","080397","부산경남","한국",1,"김호종","Kim Ho Jong","065079",1.5,"R1~35","국5등급",28,20170723,"일요일",1000,"일반",1,61.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"임금만","Lim Keum Man","070128","건조 (3%)","맑음",52,"440(-10)",5.3,
3,"연령오픈",48.4,2,36.2,3,24.4,2,0,0,0,0,0,0,13.4,3,13.4,0,13.1,25.3,37.1,22.8,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,10,"머리","윈디파크","WINDY PARK","0035813",56,0,0,0,0,0,0,0,"유광희","Lyu Gwang Hee","080483","부산경남","한국",2,"허필도","Heo Pil Do",106075,1.5,"R1~35","국5등급",33,20170723,"일요일",1000,"일반",1,61.5,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"김길중","Kim Gil Jung","070126","건조 (3%)","맑음",55,"428(-7)",2.4,
3,"연령오픈",48.5,3,36.2,2,24.5,3,0,0,0,0,0,0,13.4,2,13.4,0,13.4,25.7,37.4,22.8,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,1,2,"큰마법","KEUN MABEOP","0035406",56,0,0,0,0,0,0,0,"조성곤","JO SUNG GON","080410","부산경남","한국",3,"김광원","Kim Kwang Won",109150,3.2,"R1~35","국5등급",29,20170723,"일요일",1000,"일반",1,61.9,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"임동창","Im Dong Chang","070138","건조 (3%)","맑음",52.5,"479(-13)",12.5,
3,"연령오픈",48.7,5,36.5,6,24.7,6,0,0,0,0,0,0,13.6,7,13.6,0,13.2,25.4,37.2,22.9,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,9,"코","천지개벽","CHEONJIGAEBYEOK","0035574",56,0,0,0,0,0,0,0,"정도윤","Jung Do Yun","080565","부산경남","한국",4,"손병철","Son Boing Choul",110058,16,"R1~35","국5등급",27,20170723,"일요일",1000,"일반",1,61.9,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","건조 (3%)","맑음",51,"483(+4)",57.5,
6,"연령오픈",49.1,8,37,9,24.9,9,0,0,0,0,0,0,13.8,10,13.8,0,12.8,24.9,37,23.2,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,7,"목","코리아헌터","KOREA HUNTER","0029707",56,0,0,0,0,0,0,0,"전진구","Jeon Jin Gu","080580","부산경남","한국",5,"한영희","Han Yeong-Hee",109144,4.8,"R1~35","국5등급",35,20170723,"일요일",1000,"일반",1,61.9,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"이정표","Lee Jung Pyo","070132","건조 (3%)","맑음",53,"456(+1)",23.8,
4,"연령오픈",49.6,10,37.6,11,25.6,11,0,0,0,0,0,0,14.1,11,14.1,0,12.4,24.4,36.4,23.5,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,11,"½","거위의꿈","GEOWIUI KKUM","0034198",56,0,0,0,0,0,0,0,"기욤베","JEAN-PIERRE PATRICK GUILLAMBERT","080581","부산경남","한국",6,"안규생","An Gyu Saeng",109149,4.5,"R1~35","국5등급",30,20170723,"일요일",1000,"일반",1,62,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"최기홍","Choi Ki Hong","070129","건조 (3%)","맑음",54.5,"491(-13)",19.3,
4,"연령오픈",48.7,4,36.5,5,24.7,5,0,0,0,0,0,0,13.5,6,13.5,0,13.3,25.5,37.3,23,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,6,"코","대지의희망","DAEJIUI HUIMANG","0034372",56,0,0,0,0,0,0,0,"이효식","Lee Hyo Sik","080564","부산경남","한국",7,"한정협","Han Jung Hyup",104098,2,"R1~35","국5등급",33,20170723,"일요일",1000,"일반",1,62,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","건조 (3%)","맑음",54.5,"498(-2)",6.7,
3,"연령오픈",49.3,9,36.9,8,24.9,8,0,0,0,0,0,0,13.8,9,13.8,0,12.8,25.2,37.2,23.1,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,5,"¾","백년손님","BAENGNYEON SONNIM","0035008",56,0,0,0,0,0,0,0,"최은경","Choi Eun Gyeong","080566","부산경남","한국",8,"이본희","Lee Bon Hee",106047,3.4,"R1~35","국5등급",32,20170723,"일요일",1000,"일반",1,62.1,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"방동석","Bang Dong Suk","070142","건조 (3%)","맑음",53.5,"445(-5)",9.3,
4,"연령오픈",49,7,36.8,7,24.8,7,0,0,0,0,0,0,13.7,8,13.7,0,13.1,25.3,37.3,23.1,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,8,"목","메인비카","MAIN VICAR","0033648",56,0,0,0,0,0,0,0,"진겸","Jin Kyum","080551","부산경남","한국",9,"손병현","Son Byeong Hyeon",112005,2.1,"R1~35","국5등급",24,20170723,"일요일",1000,"일반",1,62.1,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김재섭","Kim Jae Sub","070106","건조 (3%)","맑음",52,"487(+1)",9.4,
4,"연령오픈",48.9,6,36.5,4,24.6,4,0,0,0,0,0,0,13.5,5,13.5,0,13.2,25.6,37.5,23,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,3,"코","나바라","NAVARRA","0034105",56,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",10,"한영희","Han Yeong-Hee",109144,9.5,"R1~35","국5등급",25,20170723,"일요일",1000,"일반",1,62.1,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"하무선","Ha Mu Seon","070143","건조 (3%)","맑음",51,"475(-4)",38.4,
3,"연령오픈",49.7,11,37.2,10,25,10,0,0,0,0,0,0,13.5,4,13.5,0,13,25.5,37.7,23.7,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,2,3,"아레나","ARENA","0035853",56,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",11,"정경목","Jung Kyung Mok",115005,4.1,"R1~35","국5등급",29,20170723,"일요일",1000,"일반",1,62.7,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","건조 (3%)","맑음",52.5,"460(-3)",15.4,
4,"연령오픈",61.2,5,49.2,6,37,7,25.3,8,0,0,0,0,14.1,8,14.1,0,12.8,24.8,37,23.9,25.3,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,6,"-","최강드림","CHOEGANG DREAM","0033507",56,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",1,"전종섭","Jeon Chong Sup",105008,1.3,"R1~50","국4등급",49,20170723,"일요일",1200,"일반",2,74,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"임금만","Lim Keum Man","070128","건조 (3%)","맑음",56.5,"499(-1)",1.9,
3,"연령오픈",60.8,2,48.3,2,36.3,3,24.7,3,0,0,0,0,13.7,4,13.7,0,13.6,26.1,38.1,23.6,24.7,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,11,2,"영광의컨트리","YEONGGWANGUICOUNTR","0035307",56,0,0,0,0,0,0,0,"조성곤","JO SUNG GON","080410","부산경남","한국",2,"변창덕","Byun Chang Duck",110048,1.6,"R1~50","국4등급",39,20170723,"일요일",1200,"일반",2,74.4,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"토마스","Thomas Gillespie","070194","건조 (3%)","맑음",52,"488(-7)",4.3,
3,"연령오픈",61.1,3,48.7,4,36.7,6,25.2,7,0,0,0,0,14.1,9,14.1,0,13.4,25.8,37.8,23.5,25.2,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,12,"½","다르마","DARMA","0035924",56,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",3,"김봉겸","Kim Bong Gyum",104148,2.2,"R1~50","국4등급",36,20170723,"일요일",1200,"일반",2,74.5,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"한상복","HAN SANG BOK","070118","건조 (3%)","맑음",52,"464(-2)",9.1,
5,"연령오픈",60.8,1,48.3,1,36.3,2,24.7,2,0,0,0,0,13.7,2,13.7,0,13.9,26.4,38.4,23.6,24.7,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,3,1,"굿원맨","GOOD ONE MAN","0032256",56,0,0,0,0,0,0,0,"진겸","Jin Kyum","080551","부산경남","한국",4,"전영환","Jeon Yeong Hwan","065119",3.9,"R1~50","국4등급",45,20170723,"일요일",1200,"일반",2,74.7,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","건조 (3%)","맑음",54.5,"486(-2)",22.1,
3,"연령오픈",62.3,8,50,10,38,11,26.7,12,0,0,0,0,15.6,12,15.6,0,13.2,25.5,37.5,23.3,26.7,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,1,5,"해피공주","HAPPY GONGJU","0035462",56,0,0,0,0,0,0,0,"임성실","Lim Sung Sil","080379","부산경남","한국",5,"이경희","Lee Gyeong Hui",112286,2.1,"R1~50","국4등급",48,20170723,"일요일",1200,"일반",2,75.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","건조 (3%)","맑음",54.5,"462(-7)",7,
4,"연령오픈",62.2,7,49.5,8,37.1,8,25.2,6,0,0,0,0,13.9,6,13.9,0,13.3,26,38.4,24.3,25.2,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,5,"머리","찰나의주인","CHALLAUI JUIN","0034088",56,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",6,"임두순","Lim Doo Soon",112013,3.3,"R1~50","국4등급",40,20170723,"일요일",1200,"일반",2,75.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"라이스","Bart Rice","070186","건조 (3%)","맑음",51,"499(-4)",22.4,
5,"연령오픈",61.2,4,48.4,3,36.3,1,24.7,1,0,0,0,0,13.7,1,13.7,0,14.4,27.2,39.3,23.7,24.7,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,2,"목","[서울]환희의별","HWANHUIUI BYEOL","0032569",56,0,0,0,0,0,0,0,"전진구","Jeon Jin Gu","080580","부산경남","한국",7,"오종환","Oh Jong Hwan","065154",3.1,"R1~50","국4등급",48,20170723,"일요일",1200,"일반",2,75.6,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"문제복","MUN JE BOK","070140","건조 (3%)","맑음",52,"496(+4)",18.1,
5,"연령오픈",62.5,9,49.4,7,36.6,4,24.8,4,0,0,0,0,13.7,3,13.7,0,13.9,27,39.8,24.6,24.8,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,8,4,"난다도리","NANDA DORI","0032646",56,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",8,"홍태수","Hong Tae Soo","065059",4.7,"R1~50","국4등급",37,20170723,"일요일",1200,"일반",2,76.4,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김남중","KIM NAM JUNG","070120","건조 (3%)","맑음",52,"458(-10)",24.8,
4,"연령오픈",62.2,6,49,5,36.7,5,25,5,0,0,0,0,13.9,5,13.9,0,14.3,27.5,39.8,24,25,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,4,"¾","비카호프","VICAR HOPE","0034005",56,0,0,0,0,0,0,0,"이희천","Lee Hee Cheon","080395","부산경남","한국",9,"이시돌협회","Isidore Farm",103012,10.2,"R1~50","국4등급",37,20170723,"일요일",1200,"일반",2,76.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","건조 (3%)","맑음",51,"493(-1)",47.5,
3,"연령오픈",63.4,12,50.9,12,38.5,12,26.6,11,0,0,0,0,14.5,10,14.5,0,13.5,26,38.4,24.3,26.6,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,7,"2½","일류신화","ILLYU SINHWA","0038192",56,0,0,0,0,0,0,0,"김현중","Kim Hyun Joong","080501","부산경남","미국",10,"고승태","Go Seung Tae",112297,14.5,"R1~50","국4등급",36,20170723,"일요일",1200,"일반",2,76.9,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","건조 (3%)","맑음",51,"500(-5)",72.4,
5,"연령오픈",63.1,11,50.2,11,37.8,10,25.8,10,0,0,0,0,14.5,11,14.5,0,13.9,26.8,39.2,24.4,25.8,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,9,"½","매력덩어리","MAERYEOK DEONGEORI","0033010",56,0,0,0,0,0,0,0,"정도윤","Jung Do Yun","080565","부산경남","미국",11,"박성배","Park Sung Bae",105034,11,"R1~50","국4등급",46,20170723,"일요일",1200,"일반",2,77,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"이정표","Lee Jung Pyo","070132","건조 (3%)","맑음",53,"461(-1)",104.2,
