"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
4,"연령오픈",69.3,1,57.1,4,44.5,4,31.9,6,8.5,6,0,0,14.4,7,14.4,0,12.9,25.1,37.7,25.2,23.4,8.5,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,9,"-","미스터스팬딩","MR.SPENDING","0034071",6,0,0,0,0,0,0,0,"사토시","YONEKURA SATOSHI","080560","부산경남","한국",1,"안규생","An Gyu Saeng",109149,1.5,"R1~35","국5등급",28,20170122,"일요일",1300,"일반",1,82.2,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"최기홍","Choi Ki Hong","070129","건조 (3%)","맑음",54,"492()",3.8,
3,"연령오픈",69.6,3,57,1,44.2,1,31.5,1,8.4,2,0,0,14.1,1,14.1,0,13.4,26,38.8,25.5,23.1,8.4,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,6,5,"모닝파크","MORNING PARK","0035402",6,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",2,"김중길","Kim Jung Gil",105057,1.6,"R1~35","국5등급",34,20170122,"일요일",1300,"일반",1,83,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"오문식","OH MOON SIK","070112","건조 (3%)","맑음",56,"506(+5)",3.2,
5,"연령오픈",69.5,2,57.1,3,44.4,3,31.8,5,8.4,3,0,0,14.2,3,14.2,0,13.5,25.9,38.6,25.3,23.4,8.4,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,10,"목","제너럴","GENERAL","0031916",6,0,0,0,0,0,0,0,"조성곤","JO SUNG GON","080410","부산경남","한국",3,"김호균","Kim Ho Kyun","065078",2.6,"R1~35","국5등급",28,20170122,"일요일",1300,"일반",1,83,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","건조 (3%)","맑음",54,"535(+14)",6.6,
4,"연령오픈",70.3,6,57.7,7,44.8,7,32.1,8,8.7,8,0,0,14.5,8,14.5,0,13.5,26.1,39,25.6,23.4,8.7,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,1,5,"바로가","BAROGA","0033164",6,0,0,0,0,0,0,0,"함완식","Ham Wan Sik","080342","부산경남","한국",4,"이성영","Lee Sung Young",106079,5.2,"R1~35","국5등급",33,20170122,"일요일",1300,"일반",1,83.8,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"백광열","Baik Kwang Yeol","070130","건조 (3%)","맑음",56.5,"497(+7)",20.7,
5,"연령오픈",70.3,7,57.7,8,44.8,8,32.1,9,8.7,9,0,0,14.6,9,14.6,0,13.5,26.1,39,25.6,23.4,8.7,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,3,"코","막강질주","MAKGANG JILJU","0031336",6,0,0,0,0,0,0,0,"최은경","Choi Eun Gyeong","080566","부산경남","한국",5,"서종호","SEO JONG HO",106069,3.1,"R1~35","국5등급",34,20170122,"일요일",1300,"일반",1,83.8,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"문제복","MUN JE BOK","070140","건조 (3%)","맑음",52,"414(-13)",13.6,
4,"연령오픈",70,5,57.4,5,44.6,6,31.8,4,8.5,5,0,0,14.4,5,14.4,0,13.9,26.5,39.3,25.6,23.3,8.5,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,5,"머리","오마이캡틴","OH MY CAPTAIN","0033581",6,0,0,0,0,0,0,0,"김동영","Kim Dong Young","080401","부산경남","한국",6,"심상순","Sim Sang Soon",106089,4.2,"R1~35","국5등급",28,20170122,"일요일",1300,"일반",1,83.9,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"유병복","Yoo Byung Bok","070109","건조 (3%)","맑음",54,"518(-1)",12.9,
4,"연령오픈",69.9,4,57.1,2,44.3,2,31.6,2,8.3,1,0,0,14.1,2,14.1,0,14.2,27,39.8,25.5,23.3,8.3,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,7,1,"위닝올","WINNING ALL","0033960",6,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",7,"송달섭","Song Dal Sup",105006,4.3,"R1~35","국5등급",30,20170122,"일요일",1300,"일반",1,84.1,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"강병은","KANG BYUNG EUN","070135","건조 (3%)","맑음",55,"513(+11)",18,
4,"연령오픈",70.6,8,57.7,9,44.8,10,32.1,10,8.7,10,0,0,14.6,10,14.6,0,13.7,26.6,39.5,25.6,23.4,8.7,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,11,"1¼","천지챔프","CHEONJI CHAMP","0034225",6,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",8,"안숙영","An Sook Young",106038,2.3,"R1~35","국5등급",30,20170122,"일요일",1300,"일반",1,84.3,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"한상복","HAN SANG BOK","070118","건조 (3%)","맑음",55,"447(-4)",9.6,
5,"연령오픈",71,10,58,11,44.9,11,32.2,11,9,12,0,0,14.8,12,14.8,0,14.1,27.1,40.2,25.8,23.2,9,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,12,5,"유아더캡틴","YOUARE THE CAPTAIN","0031599",6,0,0,0,0,0,0,0,"이효식","Lee Hyo Sik","080564","부산경남","한국",9,"신윤경","Shin Yoon Gyeong",112292,3.7,"R1~35","국5등급",34,20170122,"일요일",1300,"일반",1,85.1,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"김재섭","Kim Jae Sub","070106","건조 (3%)","맑음",55,"461(+3)",21.2,
3,"연령오픈",71.6,12,58.6,12,45.2,12,32.5,12,8.8,11,0,0,14.7,11,14.7,0,13.8,26.8,40.2,26.1,23.7,8.8,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,4,"1¾","우주정벌","UJU JEONGBEOL","0035561",6,0,0,0,0,0,0,0,"미르코","Mirko Sanna","080570","부산경남","한국",10,"배수한","Bae Su Han",114033,7.7,"R1~35","국5등급",28,20170122,"일요일",1300,"일반",1,85.4,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","건조 (3%)","맑음",53,"480(+4)",29.2,
