"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
3,"연령오픈",48,1,36.3,2,24.8,2,0,0,0,0,0,0,13.8,2,13.8,0,12.8,24.5,36,22.5,0,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,5,"-","그레이스","GRACE","0032054",72,0,0,0,0,0,0,0,"서승운","Seo Seung Un","080484","부산경남","한국",1,"송정수","Song Jung Soo",112271,2,"R41~55","국4등급",50,20150920,"일요일",1000,"일반",1,60.8,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"백광열","Baik Kwang Yeol","070130","양호 (8%)","맑음",54.5,"456(+7)",4.2,
4,"연령오픈",48.2,2,36.2,1,24.6,1,0,0,0,0,0,0,13.5,1,13.5,0,13.4,25.4,37,22.7,0,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,2,4,"그린나래","GEURIN NARAE","0030767",72,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",2,"김종태","Kim Jong-Tae",113125,1.3,"R41~55","국4등급",50,20150920,"일요일",1000,"일반",1,61.6,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","양호 (8%)","맑음",54.5,"462(+1)",1.7,
3,"연령오픈",48.7,3,36.6,3,24.9,3,0,0,0,0,0,0,13.9,4,13.9,0,13,25.1,36.8,22.7,0,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,6,"¾","위닝포인트","WINNING POINT","0032360",72,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",3,"이재훈","Lee Jae-Hun",113116,2.9,"R41~55","국4등급",41,20150920,"일요일",1000,"일반",1,61.7,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"유병복","Yoo Byung Bok","070109","양호 (8%)","맑음",51,"441(+8)",8.9,
4,"연령오픈",49.2,4,37.1,5,25.3,5,0,0,0,0,0,0,14,5,14,0,12.8,24.9,36.7,23.1,0,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,3,"1¾","배다리대왕","BAEDARI DAEWANG","0030460",72,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",4,"송한우","Song Han Woo",110050,2.4,"R41~55","국4등급",45,20150920,"일요일",1000,"일반",1,62,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"유충열","YU CHUNG YEOL","070139","양호 (8%)","맑음",52,"475(+2)",6.4,
4,"연령오픈",49.3,5,37.4,6,25.7,6,0,0,0,0,0,0,14.2,6,14.2,0,13,24.9,36.6,23.2,0,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,4,"1½","롱스트라이드","LONG STRIDE","0029744",72,0,0,0,0,0,0,0,"임성실","Lim Sung Sil","080379","부산경남","한국",5,"최종하","Choi Jong Ha",112019,6,"R41~55","국4등급",53,20150920,"일요일",1000,"일반",1,62.3,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김재섭","Kim Jae Sub","070106","양호 (8%)","맑음",56,"499(-2)",19.1,
4,"연령오픈",49.6,6,37.7,7,26.1,7,0,0,0,0,0,0,14.3,7,14.3,0,13.1,25,36.6,23.4,0,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,7,"2½","마하델타","MACH DELTA","0030188",72,0,0,0,0,0,0,0,"진겸","Jin Kyum","080551","부산경남","한국",6,"문상후","Moon Sang Foo",201269,13,"R41~55","국4등급",24,20150920,"일요일",1000,"일반",1,62.7,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","양호 (8%)","맑음",51,"469(-1)",47.8,
4,"연령오픈",49.7,7,37.1,4,25.2,4,0,0,0,0,0,0,13.9,3,13.9,0,13.5,26.1,38,23.2,0,0,"핸디캡",0,0,0,31350000,11550000,7150000,2750000,2200000,1,3,"무지개동산","MUJIGAE DONGSAN","0030237",72,0,0,0,0,0,0,0,"김동영","Kim Dong Young","080401","부산경남","한국",7,"김동훈","Kim Dong Hoon",112298,3.9,"R41~55","국4등급",47,20150920,"일요일",1000,"일반",1,63.2,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","양호 (8%)","맑음",53,"503(-3)",10.6,
3,"연령오픈",61.8,3,50.2,8,38.2,9,26.2,10,0,0,0,0,14.6,12,14.6,0,12.6,24.2,36.2,24,26.2,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,4,"-","신세계","SINSEGYE","0031799",72,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",1,"이주미","Lee Joo Mi",111074,2,"R1~40","국5등급",31,20150920,"일요일",1200,"일반",2,74.4,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"임한","LIM HAN","070151","양호 (8%)","맑음",52.5,"475(-11)",4.9,
3,"연령오픈",61.7,2,49.3,2,37.2,2,25.1,2,0,0,0,0,13.7,2,13.7,0,13.1,25.5,37.6,24.2,25.1,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,12,"2½","원더풀청해","WONDERFULCHEONGHAE","0031804",72,0,0,0,0,0,0,0,"진겸","Jin Kyum","080551","부산경남","한국",2,"전종섭","Jeon Chong Sup",105008,2.2,"R1~40","국5등급",38,20150920,"일요일",1200,"일반",2,74.8,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","양호 (8%)","맑음",52,"456(+2)",7.7,
3,"연령오픈",61.7,1,49.2,1,36.8,1,24.8,1,0,0,0,0,13.5,1,13.5,0,13.6,26.1,38.5,24.4,24.8,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,1,"2½","대보름달","DAEBOREUMDAL","0032122",72,0,0,0,0,0,0,0,"박금만","PARK GEUM MAN","080408","부산경남","한국",3,"서귀포시축협","Seogwipo Chukhyup",105081,3.7,"R1~40","국5등급",30,20150920,"일요일",1200,"일반",2,75.3,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김창옥","Kim Chang Ok","070124","양호 (8%)","맑음",52,"469(+3)",13,
