"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
3,"연령오픈",48.6,1,36.7,1,25,2,0,0,0,0,0,0,13.8,3,13.8,0,12.9,24.8,36.5,22.9,0,0,"별정A",0,0,0,13680000,5040000,3120000,1200000,960000,6,"-","한길","HANGIL","0037092",23,0,0,0,0,0,0,0,"조인권","Jo In Kwon","080438","부산경남","한국",1,"양치복","Yang Chee Bok",106055,1.5,"R0~0","국6등급",0,20180330,"금요일",1000,"일반",1,61.5,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","건조 (3%)","맑음",54,"475(-6)",5.4,
3,"연령오픈",49.2,3,37.4,6,25.5,6,0,0,0,0,0,0,13.9,5,13.9,0,12.8,24.6,36.5,23.5,0,0,"별정A",0,0,0,13680000,5040000,3120000,1200000,960000,7,"2½","백년대로","BAENGNYEON DAERO","0037071",23,0,0,0,0,0,0,0,"오경환","Oh Kyung Hwan","080352","부산경남","한국",2,"이본희","Lee Bon Hee",106047,1.5,"R0~0","국6등급",0,20180330,"금요일",1000,"일반",1,62,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"방동석","Bang Dong Suk","070142","건조 (3%)","맑음",54,"455(-3)",6.2,
3,"연령오픈",49.3,5,37.4,7,25.7,7,0,0,0,0,0,0,14.6,9,14.6,0,12.9,24.8,36.5,22.8,0,0,"별정A",0,0,0,13680000,5040000,3120000,1200000,960000,3,1,"탱고앤탱고","TANGO AND TANGO","0037114",23,0,0,0,0,0,0,0,"진겸","Jin Kyum","080551","부산경남","한국",3,"이원태","Lee Won Tae",105125,1.5,"R0~0","국6등급",0,20180330,"금요일",1000,"일반",1,62.2,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"구영준","Koo Young Jun","070176","건조 (3%)","맑음",54,"456(-8)",2.8,
3,"연령오픈",48.9,2,36.7,2,25,3,0,0,0,0,0,0,13.7,2,13.7,0,13.4,25.6,37.3,23,0,0,"별정A",0,0,0,13680000,5040000,3120000,1200000,960000,9,"½","패션왕","FASHION WANG","0037026",23,0,0,0,0,0,0,0,"최은경","Choi Eun Gyeong","080566","부산경남","한국",4,"손병철","Son Boing Choul",110058,5.8,"R0~0","국6등급",0,20180330,"금요일",1000,"일반",1,62.3,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김병학","Kim Byung Hak","070121","건조 (3%)","맑음",53,"446(-5)",28.5,
3,"연령오픈",49.4,6,37.2,5,25.5,5,0,0,0,0,0,0,14.2,6,14.2,0,13,25.2,36.9,23,0,0,"별정A",0,0,0,13680000,5040000,3120000,1200000,960000,4,"½","하비스트골드","HARVEST GOLD","0037654",23,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",5,"전영환","Jeon Yeong Hwan","065119",13.2,"R0~0","국6등급",0,20180330,"금요일",1000,"일반",1,62.4,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","건조 (3%)","맑음",56,"450(-3)",35.6,
3,"연령오픈",49.3,4,37,4,25.2,4,0,0,0,0,0,0,13.9,4,13.9,0,13.1,25.4,37.2,23.1,0,0,"별정A",0,0,0,13680000,5040000,3120000,1200000,960000,2,"머리","무초","MUCHO","0037406",23,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",6,"정광화","Jung Kwang Hwa",104074,2.3,"R0~0","국6등급",0,20180330,"금요일",1000,"일반",1,62.4,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"오문식","OH MOON SIK","070112","건조 (3%)","맑음",56,"466(-9)",9.1,
3,"연령오픈",50.1,9,38.1,9,26.2,10,0,0,0,0,0,0,14.7,11,14.7,0,12.9,24.9,36.8,23.4,0,0,"별정A",0,0,0,13680000,5040000,3120000,1200000,960000,1,4,"골드의인연","GOLDUI INYEON","0037475",23,0,0,0,0,0,0,0,"조성곤","JO SUNG GON","080410","부산경남","한국",7,"김현우","Kim Hyen Woo",117035,7.1,"R0~0","국6등급",0,20180330,"금요일",1000,"일반",1,63,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","건조 (3%)","맑음",54,"454(-18)",17.2,
4,"연령오픈",50.1,8,37.8,8,25.9,8,0,0,0,0,0,0,14.3,7,14.3,0,13.1,25.4,37.3,23.5,0,0,"별정A",0,0,0,13680000,5040000,3120000,1200000,960000,8,1,"천지골드","CHEONJI GOLD","0035701",23,0,0,0,0,0,0,0,"정도윤","Jung Do Yun","080565","부산경남","한국",8,"안숙영","An Sook Young",106038,23.7,"R0~0","국6등급",0,20180330,"금요일",1000,"일반",1,63.2,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"유병복","Yoo Byung Bok","070109","건조 (3%)","맑음",53.5,"443(-11)",96.9,
3,"연령오픈",50.5,11,38.5,11,26.6,11,0,0,0,0,0,0,14.6,10,14.6,0,12.8,24.8,36.7,23.9,0,0,"별정A",0,0,0,13680000,5040000,3120000,1200000,960000,10,"½","더팩트","THE FACT","0037738",23,0,0,0,0,0,0,0,"문중원","MUN JUNG WON","080397","부산경남","한국",9,"이혜란","Lee Hae Lan",104102,4.5,"R0~0","국6등급",0,20180330,"금요일",1000,"일반",1,63.3,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"이상영","Lee Sang Young","070141","건조 (3%)","맑음",56,"447()",28.1,
4,"연령오픈",50.5,10,38.2,10,26.1,9,0,0,0,0,0,0,14.3,8,14.3,0,13.3,25.6,37.7,23.9,0,0,"별정A",0,0,0,13680000,5040000,3120000,1200000,960000,12,3,"하이밸리","HIGH VALLEY","0036230",23,0,0,0,0,0,0,0,"김명신","Kim Myoung Sin","080402","부산경남","한국",10,"함안군","Ham An County",110061,16.3,"R0~0","국6등급",0,20180330,"금요일",1000,"일반",1,63.8,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"방동석","Bang Dong Suk","070142","건조 (3%)","맑음",54.5,"408(+2)",74.5,
