"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sexCond","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds"
6,"연령오픈",68.3,2,55.3,2,42.7,2,30.5,2,8.3,3,0,0,14,4,14,0,14.1,27.1,39.7,24.8,22.2,8.3,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,11,"-","비카사랑","VICAR SARANG","0032263",8,0,0,0,0,0,0,0,"조상범","Jo Sang Beom","080533","부산경남","한국",1,"정영식","Jeong Young Sik",104154,3.1,"R1~35","국5등급",35,20180128,"일요일",1300,"일반",2,82.4,0,0,0,0,0,0,0,"거",,0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","건조 (4%)","맑음",52.5,"453()",14.7
3,"연령오픈",68.2,1,55.2,1,42.5,1,30.3,1,8.3,2,0,0,13.8,1,13.8,0,14.3,27.3,40,24.9,22,8.3,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,8,"¾","레드클라우드","RED CLOUD","0037258",8,0,0,0,0,0,0,0,"조인권","Jo In Kwon","080438","부산경남","한국",2,"최병부","Choi Byeong Bu",109137,1,"R1~35","국5등급",30,20180128,"일요일",1300,"일반",2,82.5,0,0,0,0,0,0,0,"수",,0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","건조 (4%)","맑음",53.5,"477(-10)",2
4,"연령오픈",69.6,8,57.1,9,44.6,11,31.9,11,8.8,12,0,0,14.6,12,14.6,0,13.1,25.6,38.1,25.2,23.1,8.8,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,10,1,"행복한질주","HAENGBOKAN JILJU","0034949",8,0,0,0,0,0,0,0,"김철호","Kim Cheol Ho","080434","부산경남","한국",3,"이본희","Lee Bon Hee",106047,3.6,"R1~35","국5등급",28,20180128,"일요일",1300,"일반",2,82.7,0,0,0,0,0,0,0,"수",,0,0,0,0,0,0,0,"방동석","Bang Dong Suk","070142","건조 (4%)","맑음",53,"460(-1)",19.4
3,"연령오픈",68.9,4,56.1,7,43.5,7,31.2,8,8.4,5,0,0,14.1,5,14.1,0,13.9,26.7,39.3,24.9,22.8,8.4,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,4,"¾","미스터코리아","MR. KOREA","0037057",8,0,0,0,0,0,0,0,"진겸","Jin Kyum","080551","부산경남","한국",4,"심상순","Sim Sang Soon",106089,1.6,"R1~35","국5등급",29,20180128,"일요일",1300,"일반",2,82.8,0,0,0,0,0,0,0,"수",,0,0,0,0,0,0,0,"유병복","Yoo Byung Bok","070109","건조 (4%)","맑음",53,"524(-3)",4.2
3,"연령오픈",68.8,3,55.5,3,42.8,3,30.6,3,8.3,1,0,0,14,2,14,0,14.3,27.6,40.3,24.9,22.3,8.3,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,2,"1½","담양공주","DAMYANG GONGJU","0037502",8,0,0,0,0,0,0,0,"조성곤","JO SUNG GON","080410","부산경남","한국",5,"김성수","KIM SUNG SOO",106023,1.4,"R1~35","국5등급",30,20180128,"일요일",1300,"일반",2,83.1,0,0,0,0,0,0,0,"암",,0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","건조 (4%)","맑음",52,"494(-7)",3.9
4,"연령오픈",69,5,55.8,4,43.1,4,30.9,5,8.6,8,0,0,14.2,7,14.2,0,14.1,27.3,40,24.9,22.3,8.6,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,9,"코","도도한","DODOHAN","0036426",8,0,0,0,0,0,0,0,"다실바","Francisco Da Silva","080568","부산경남","미국",6,"김흥보","Kim Heung Bo",104118,7,"R1~35","국5등급",29,20180128,"일요일",1300,"일반",2,83.1,0,0,0,0,0,0,0,"암",,0,0,0,0,0,0,0,"이정표","Lee Jung Pyo","070132","건조 (4%)","맑음",52,"455()",54.6
4,"연령오픈",69.1,6,56.1,5,43.4,6,31.1,6,8.8,11,0,0,14.4,10,14.4,0,14.3,27.3,40,25,22.3,8.8,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,7,"1¾","팔콘","FALCON","0035478",8,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",7,"우만식","Uh Man Sik",104087,7.9,"R1~35","국5등급",28,20180128,"일요일",1300,"일반",2,83.4,0,0,0,0,0,0,0,"암",,0,0,0,0,0,0,0,"이정표","Lee Jung Pyo","070132","건조 (4%)","맑음",51,"484(-2)",42.5
4,"연령오픈",69.4,7,56.3,8,43.7,8,31.3,9,8.5,7,0,0,14.2,6,14.2,0,14.1,27.2,39.8,25,22.8,8.5,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,5,"¾","뉴트렌드","NEW TREND","0035695",8,0,0,0,0,0,0,0,"이효식","Lee Hyo Sik","080564","부산경남","한국",8,"태립","Tae Rip",106255,12.7,"R1~35","국5등급",27,20180128,"일요일",1300,"일반",2,83.5,0,0,0,0,0,0,0,"암",,0,0,0,0,0,0,0,"김남중","KIM NAM JUNG","070120","건조 (4%)","맑음",51,"468(+4)",117.3
5,"연령오픈",70.1,10,57.2,11,44.3,10,31.7,10,8.6,9,0,0,14.3,9,14.3,0,13.9,26.8,39.7,25.5,23.1,8.6,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,12,3,"드림스타트","DREAM START","0034061",8,0,0,0,0,0,0,0,"김명신","Kim Myoung Sin","080402","부산경남","한국",9,"강종철","Kang Jong Cheol",106232,14.7,"R1~35","국5등급",22,20180128,"일요일",1300,"일반",2,84,0,0,0,0,0,0,0,"암",,0,0,0,0,0,0,0,"방동석","Bang Dong Suk","070142","건조 (4%)","맑음",52,"495(+8)",201.3
4,"연령오픈",70.9,12,58.3,12,45.6,12,32.7,12,8.7,10,0,0,14.5,11,14.5,0,13.1,25.7,38.4,25.6,24,8.7,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,6,"목","일류신화","ILLYU SINHWA","0038192",8,0,0,0,0,0,0,0,"사토시","YONEKURA SATOSHI","080560","부산경남","미국",10,"고승태","Go Seung Tae",112297,17.7,"R1~35","국5등급",35,20180128,"일요일",1300,"일반",2,84,0,0,0,0,0,0,0,"수",,0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","건조 (4%)","맑음",56.5,"517(+19)",99
