"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","sexCond"
3,"연령오픈",47.7,1,36,1,24.5,1,0,0,0,0,0,0,13.3,1,13.3,0,13,24.7,36.2,22.7,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,2,"-","영성스타","YEONGSEONG STAR","0039056",50,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",1,"김영순","Kim Yung Soon",117003,1.1,"R1~35","국5등급",32,20190630,"일요일",1000,"일반",1,60.7,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"최기홍","Choi Ki Hong","070129","다습 (14%)","맑음",54,"492(+2)",1.3,
4,"연령오픈",48.3,2,36.3,2,24.7,2,0,0,0,0,0,0,13.4,2,13.4,0,13,25,36.6,22.9,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,10,3,"유로신화","EURO SHINHWA","0036822",50,0,0,0,0,0,0,0,"임성실","Lim Sung Sil","080379","부산경남","한국",2,"변공민","Byun Gong Min",104078,2.2,"R1~35","국5등급",33,20190630,"일요일",1000,"일반",1,61.3,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"한상복","HAN SANG BOK","070118","다습 (14%)","맑음",56,"469(+3)",13.6,
3,"연령오픈",48.6,3,37,6,25.5,7,0,0,0,0,0,0,14.2,10,14.2,0,13.1,24.7,36.2,22.8,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,8,2,"담양최강","DAMYANG CHOEGANG","0039284",50,0,0,0,0,0,0,0,"김어수","Kim Eu Soo","080403","부산경남","한국",3,"최영근","Choi Young Keun",104169,2.3,"R1~35","국5등급",26,20190630,"일요일",1000,"일반",1,61.7,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","다습 (14%)","맑음",52.5,"487(-8)",11.1,
6,"연령오픈",48.9,6,36.9,4,25.2,5,0,0,0,0,0,0,13.9,5,13.9,0,12.8,24.8,36.5,23,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,5,"½","슈퍼이글","SUPER EAGLE","0037976",50,0,0,0,0,0,0,0,"진겸","Jin Kyum","080551","부산경남","호주",4,"고석주","Ko Suk Ju",105011,9.2,"R1~35","국5등급",35,20190630,"일요일",1000,"일반",1,61.7,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"유병복","Yoo Byung Bok","070109","다습 (14%)","맑음",57,"510(-1)",71.4,
4,"연령오픈",49,7,37,5,25.5,6,0,0,0,0,0,0,14,6,14,0,12.8,24.8,36.3,23,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,4,"¾","머니블랙홀","MONEY BLACK HOLE","0037278",50,0,0,0,0,0,0,0,"리차드","Richard William Oliver","080592","부산경남","한국",5,"이종훈","Lee Jong Hun",105127,2.3,"R1~35","국5등급",34,20190630,"일요일",1000,"일반",1,61.8,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"민장기","Min Jang Gi","070136","다습 (14%)","맑음",56.5,"512(+1)",15.7,
4,"연령오픈",48.8,4,37,7,25.5,8,0,0,0,0,0,0,14,7,14,0,13.2,25,36.5,23,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,7,"¾","유로공주","EURO GONGJU","0036808",50,0,0,0,0,0,0,0,"박을운","Park Eul Woon","080339","부산경남","한국",6,"이경희","Lee Gyeong Hui",112286,1.6,"R1~35","국5등급",35,20190630,"일요일",1000,"일반",1,62,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"구영준","Koo Young Jun","070176","다습 (14%)","맑음",55.5,"466(+9)",9.6,
4,"연령오픈",48.9,5,36.7,3,25.1,3,0,0,0,0,0,0,13.6,3,13.6,0,13.4,25.6,37.2,23.1,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,6,"1¾","퀸더퀸","QUEEN THE QUEEN","0036916",50,0,0,0,0,0,0,0,"김현중","Kim Hyun Joong","080501","부산경남","한국",7,"김호영","Kim Ho Young",115009,3.6,"R1~35","국5등급",34,20190630,"일요일",1000,"일반",1,62.3,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"라이스","Bart Rice","070186","다습 (14%)","맑음",55,"462(-5)",21.4,
5,"연령오픈",50,10,37.8,10,25.9,10,0,0,0,0,0,0,14.1,8,14.1,0,12.7,24.9,36.8,23.7,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,9,"2½","리사","LISA","0035296",50,0,0,0,0,0,0,0,"김동영","Kim Dong Young","080401","부산경남","한국",8,"최상희","Choi Sang Hee",105104,8.3,"R1~35","국5등급",24,20190630,"일요일",1000,"일반",1,62.7,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"김재섭","Kim Jae Sub","070106","다습 (14%)","맑음",52,"500(+8)",76.5,
5,"연령오픈",49.9,9,37.6,9,25.8,9,0,0,0,0,0,0,14.2,9,14.2,0,12.8,25.1,36.9,23.4,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,1,"코","지란지교","JIRANJIGYO","0035183",50,0,0,0,0,0,0,0,"정도윤","Jung Do Yun","080565","부산경남","한국",9,"성태진","Sung Tae Jin","065145",8.7,"R1~35","국5등급",28,20190630,"일요일",1000,"일반",1,62.7,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","다습 (14%)","맑음",52,"486(-6)",74.4,
4,"연령오픈",49.6,8,37.2,8,25.2,4,0,0,0,0,0,0,13.8,4,13.8,0,13.3,25.7,37.7,23.4,0,0,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,3,"¾","풀오프","PULL OFF","0037471",50,0,0,0,0,0,0,0,"최은경","Choi Eun Gyeong","080566","부산경남","한국",10,"현길림","Hyun Gil Lim",105031,4.9,"R1~35","국5등급",29,20190630,"일요일",1000,"일반",1,62.9,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"유병복","Yoo Byung Bok","070109","다습 (14%)","맑음",52.5,"516(+32)",27.7,
