"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sexCond","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds"
3,"3세",71,9,58.3,10,45.4,10,32.4,11,9.6,0,0,0,15.3,13,15.3,0,14.1,26.8,39.7,25.9,22.8,9.6,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,11,"¾","투투브레인","TWO TWO BRAIN","0044182",14,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",11,"강용익","Kang Yong Ik",105137,5.6,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,85.1,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"김길중","Kim Gil Jung","070126","건조 (2%)","맑음",54,"470(-6)",28.5
3,"3세",71.5,13,59,14,46.3,14,32.8,14,9.1,0,0,0,15.1,12,15.1,0,13.6,26.1,38.8,26.2,23.7,9.1,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,13,"코","드림캐치","DREAM CATCH","0044582",14,0,0,0,0,0,0,0,"김동영","Kim Dong Young","080401","부산경남","한국",12,"이남일","Lee Nam Il","065082",13.9,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,85.1,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","건조 (2%)","맑음",54,"467(+4)",73.6
3,"3세",71.1,11,58,9,45.1,8,31.9,8,8.9,0,0,0,14.6,10,14.6,0,14.1,27.2,40.1,26.1,23,8.9,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,8,"½","핼러윈데이","HALLOWEEN DAY","0044123",14,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",13,"고구려","Go Gu Ryeo",120005,21.7,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,85.2,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"구민성","Gu Min Sung","070173","건조 (2%)","맑음",54,"497(-6)",233.5
3,"3세",71.7,14,58.7,12,45.5,11,32.4,12,8.7,0,0,0,14.5,8,14.5,0,13.9,26.9,40.1,26.3,23.7,8.7,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,14,"2½","우승여걸","USEUNG YEOGEOL","0045041",14,0,0,0,0,0,0,0,"윤형석","Yoon Hyung Seok","080607","부산경남","한국",14,"김효태","Kim Hyo Tae",112295,34.8,"R0~0","국6등급",0,20220227,"일요일",1300,"일반",1,85.6,0,0,0,0,0,0,0,"암","오픈",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","건조 (2%)","맑음",50,"489(+5)",229.6
5,"연령오픈",62.5,1,50.2,4,37.7,4,25.3,7,0,0,0,0,14,8,14,0,13.7,26,38.5,24.9,25.3,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,6,"-","하바나제인","HAVANA JANE","0040831",14,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",1,"박병현","Park Byeong Hyeon",112290,1.6,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,76.2,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"임동창","Im Dong Chang","070138","건조 (2%)","맑음",54.5,"471(-3)",8
4,"연령오픈",63,2,50.2,3,37.5,3,25,4,0,0,0,0,13.9,5,13.9,0,14.5,27.3,40,25.2,25,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,13,7,"세이브어스","SAVE US","0043289",14,0,0,0,0,0,0,0,"조인권","Jo In Kwon","080438","부산경남","한국",2,"신윤경","Shin Yoon Gyeong",112292,1.5,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,77.5,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"김병학","Kim Byung Hak","070121","건조 (2%)","맑음",54.5,"423(-2)",4.5
4,"연령오픈",64.3,10,51.9,12,39,12,26.1,12,0,0,0,0,14.3,11,14.3,0,13.3,25.7,38.6,25.8,26.1,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,14,"½","레이더","RADAR","0042509",14,0,0,0,0,0,0,0,"서강주","Seo Gang Ju","080605","부산경남","한국",3,"유길상","Yoo Kil Sang","010587",1.3,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,77.6,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","건조 (2%)","맑음",50.5,"483(-6)",1.6
5,"연령오픈",64,5,51.2,8,38.7,10,26.2,13,0,0,0,0,14.6,12,14.6,0,13.9,26.7,39.2,25,26.2,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,7,"1¾","함안말이산","HAMAN MARISAN","0041134",14,0,0,0,0,0,0,0,"김동영","Kim Dong Young","080401","부산경남","한국",4,"함안군","Ham An County",110061,9.9,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,77.9,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","건조 (2%)","맑음",54.5,"499(-14)",48
4,"연령오픈",64.3,9,51.8,11,38.9,11,25.8,9,0,0,0,0,14,7,14,0,13.7,26.2,39.1,26,25.8,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,2,"½","마이팔","MY PAL","0042095",14,0,0,0,0,0,0,0,"모준호","Mo Jun Ho","080600","부산경남","한국",5,"이시돌협회","Isidore Farm",103012,5.7,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,78,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","건조 (2%)","맑음",53.5,"432(+2)",47.9
3,"연령오픈",63.1,3,49.7,1,36.8,1,24.4,1,0,0,0,0,13.6,1,13.6,0,15.1,28.5,41.4,25.3,24.4,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,3,1,"모닝뮤즈","MORNING MUSE","0044424",14,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",6,"김중길","Kim Jung Gil",105057,10.3,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,78.2,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"임금만","Lim Keum Man","070128","건조 (2%)","맑음",54,"448(+5)",60
3,"연령오픈",64.8,11,52.4,13,39.4,13,26.1,11,0,0,0,0,14.2,10,14.2,0,13.6,26,39,26.3,26.1,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,4,"¾","스텔라퀸","STELLA QUEEN","0043822",14,0,0,0,0,0,0,0,"서승운","Seo Seung Un","080484","부산경남","한국",7,"김호종","Kim Ho Jong","065079",4.8,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,78.4,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"구민성","Gu Min Sung","070173","건조 (2%)","맑음",54,"397(-20)",32.6
3,"연령오픈",64.1,6,51,5,38,5,24.9,3,0,0,0,0,13.8,3,13.8,0,14.6,27.7,40.7,26.1,24.9,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,12,"1¾","투투코인","TWO TWO COIN","0044693",14,0,0,0,0,0,0,0,"전진구","Jeon Jin Gu","080580","부산경남","한국",8,"강용익","Kang Yong Ik",105137,12.8,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,78.7,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","건조 (2%)","맑음",54,"468(+2)",177.3
4,"연령오픈",64.1,7,51,6,38.1,8,25.3,8,0,0,0,0,14,9,14,0,14.6,27.7,40.6,25.7,25.3,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,11,"½","테이크아델","TAKE ADELE","0042569",14,0,0,0,0,0,0,0,"김태현","Kim Tae Hyun","080599","부산경남","한국",9,"이장현","Lee Jang Hyun",117004,5.9,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,78.7,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"민장기","Min Jang Gi","070136","건조 (2%)","맑음",51.5,"430(+4)",53.6
3,"연령오픈",64.2,8,51.2,7,38.1,7,25.2,6,0,0,0,0,13.9,4,13.9,0,14.5,27.5,40.6,26,25.2,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,8,"코","챔프그린","CHAMP GREEN","0044057",14,0,0,0,0,0,0,0,"신윤섭","Shin Yun Seob","080606","부산경남","한국",10,"백수현","Baek Su Hyeon",113123,8.7,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,78.7,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","건조 (2%)","맑음",51,"436(-1)",97.3
4,"연령오픈",63.2,4,49.7,2,36.8,2,24.4,2,0,0,0,0,13.6,2,13.6,0,15.7,29.2,42.1,25.3,24.4,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,5,"¾","닥터탱고","DOCTOR TANGO","0042904",14,0,0,0,0,0,0,0,"김혜선","Kim Hye Sun","080456","부산경남","한국",11,"권혁희","Kwon Hyeok Hui",117002,2.2,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,78.9,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"백광열","Baik Kwang Yeol","070130","건조 (2%)","맑음",54.5,"442(+3)",9.5
3,"연령오픈",65.1,12,52.4,14,39.6,14,26.6,14,0,0,0,0,14.8,14,14.8,0,14.3,27,39.8,25.8,26.6,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,10,3,"서브나인","SERVE NINE","0044408",14,0,0,0,0,0,0,0,"정우주","Jeong Woo Ju","080588","부산경남","한국",12,"김호종","Kim Ho Jong","065079",6.9,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,79.4,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","건조 (2%)","맑음",54,"424(+5)",64
4,"연령오픈",65.2,13,51.5,10,38.5,9,25.8,10,0,0,0,0,14.6,13,14.6,0,15.5,29.2,42.2,25.7,25.8,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,9,8,"라이언니스","LIONESS","0042120",14,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",13,"김영옥","Kim Young Ok",105068,17.3,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,80.7,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"최기홍","Choi Ki Hong","070129","건조 (2%)","맑음",54.5,"469(+11)",171.1
4,"연령오픈",65.8,14,51.4,9,38.1,6,25.2,5,0,0,0,0,14,6,14,0,16.4,30.8,44.1,26.2,25.2,0,"별정A",0,0,0,13750000,5500000,3500000,1250000,1000000,1,8,"쿨데이","COOL DAY","0043175",14,0,0,0,0,0,0,0,"김어수","Kim Eu Soo","080403","부산경남","한국",14,"김영옥","Kim Young Ok",105068,16.6,"R0~0","국6등급",0,20220227,"일요일",1200,"일반",2,82.2,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"최기홍","Choi Ki Hong","070129","건조 (2%)","맑음",54.5,"434(-4)",107.9
3,"연령오픈",74.1,1,61.7,1,49.4,2,36.7,2,0,0,0,0,14.1,2,14.1,0,13.6,26,38.3,25,22.6,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,10,"-","원더풀레이즈","WONDERFUL RAISE","0043724",14,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",1,"지성배","Ji Seong Bae",111077,1.9,"R1~35","국5등급",31,20220227,"일요일",1400,"일반",3,87.7,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","건조 (2%)","맑음",53,"523(+2)",4.1
4,"연령오픈",75.3,4,63,7,50.5,9,37.5,9,0,0,0,0,14.3,6,14.3,0,13,25.3,37.8,25.5,23.2,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,13,3,"윈드하이","WIND HIGH","0042031",14,0,0,0,0,0,0,0,"모준호","Mo Jun Ho","080600","부산경남","한국",2,"하늬바람","Ha Nui Ba Ram",117054,1.3,"R1~35","국5등급",35,20220227,"일요일",1400,"일반",3,88.3,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"조용배","Cho Yong Bae","070137","건조 (2%)","맑음",54,"506(+5)",3.4
5,"연령오픈",75.3,3,62.6,4,50,6,37.2,6,0,0,0,0,14.2,3,14.2,0,13.1,25.8,38.4,25.4,23,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,4,"½","그레이트고","GREAT GO","0041108",14,0,0,0,0,0,0,0,"최은경","Choi Eun Gyeong","080566","부산경남","한국",3,"양정두","Yang Jeong Du",105133,7.6,"R1~35","국5등급",26,20220227,"일요일",1400,"일반",3,88.4,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","건조 (2%)","맑음",55,"510()",29.3
3,"연령오픈",74.8,2,61.9,2,49.4,1,36.6,1,0,0,0,0,13.9,1,13.9,0,13.7,26.6,39.1,25.3,22.7,0,"별정A",0,0,0,22000000,8800000,5600000,2000000,1600000,8,"½","오션스톰","OCEAN STORM","0043775",14,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",4,"김규조","Kim Kyu Jo",112301,1.5,"R1~35","국5등급",31,20220227,"일요일",1400,"일반",3,88.5,0,0,0,0,0,0,0,"암","암",0,0,0,0,0,0,0,"이상영","Lee Sang Young","070141","건조 (2%)","맑음",53,"457(-2)",3.1
